Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,LT_Rate,AAA,Gold,Oil,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,LT_Rate_2,AAA_2,Gold_2,Oil_2,Class
2012-02-22,2108.0,681747.658978,1376302.26789,31927.5,0.0195836352201258,38594.8260184052,11.4939479472,5.14940974228221,6.70532457547,125333.0,810128.36467,45.2452830188679,13080.0,7194.0,3.413929,8407200.0,12.05,0.37,2.0,1752.0,120.87,4443664.0,464779870521.98346,1894207932599.1575,1019365256.25,0.00038351876843495175,1489560595.390967,132.1108394129431,26.516420693910938,44.96137766240193,15708360889.0,656307967242.8885,2047.1356354574561,171086400.0,51753636.0,11.654911217041,70681011840000.0,145.20250000000001,0.1369,4.0,3069504.0,14609.556900000001,3
2012-02-23,2159.0,510127.05714650004,1376302.26788638,4.0,0.0230002896539,37704.69612,11.4939479471885,5.23458227405,4.33015572605,167523.0,692032.488498299,36.0,12673.0,7203.0,4.33478143,8414450.0,12.4,0.35,1.98,1777.0,121.69,4661281.0,260229614432.94852,1894207932589.1929,16.0,0.0005290133241632994,1421644109.501543,132.11083941267876,27.40085158379847,18.750248611843602,28063955529.0,478908965137.1484,1296.0,160604929.0,51883209.0,18.790330045872842,70802968802500.0,153.76000000000002,0.12249999999999998,3.9204,3157729.0,14808.4561,1
2012-02-24,2159.0,338506.455315,1376302.26789,16.0,0.0181011782435,42354.78,11.4255315904,6.42908014572,3.91162511641953,195684.93662901,523252.137539,43.0,12250.0,6588.0,4.26574148,8414250.0,9.81666666667,0.35,1.99,1777.5,122.86,4661281.0,114586620289.92612,1894207932599.1575,256.0,0.00032765265380295774,1793927388.8483999,130.54277212322836,41.3330715200911,15.300811051404102,38292594423.49966,273792799439.1326,1849.0,150062500.0,43401744.0,18.19655037419259,70799603062500.0,96.3669444445099,0.12249999999999998,3.9601,3159506.25,15094.5796,3
2012-02-27,2253.0,269874.599328,1376302.26789,23.0,0.0194628969828,37525.0,10.2624535243,5.66244152709,7.24766473222704,121501.15885747,386149.323537,46.0,11537.0,6627.0,5.47527216,8438050.0,9.26666666667,0.31,1.95,1772.0,123.24,5076009.0,72832299362.44853,1894207932599.1575,529.0,0.0003788043589630854,1408125625.0,105.31795233841748,32.06324404771333,52.528644070767655,14762531603.70816,149111300068.0827,2116.0,133102369.0,43917129.0,29.978605226071068,71200687802500.0,85.8711111111729,0.0961,3.8024999999999998,3139984.0,15188.0976,3
2012-02-28,2282.0,209114.020032,1376302.26789,23.0,0.01934171875,42691.7653438576,12.7254423701,6.14977893169945,8.87563591594,104815.0,342453.111043,42.03125,12087.0,6725.0,3.84771572,8455100.0,9.68333333333,0.32,1.94,1781.0,122.14,5207524.0,43728673373.943695,1894207932599.1575,529.0,0.00037410208420410155,1822586828.175001,161.9368835147363,37.819780908774426,78.7769129123241,10986184225.0,117274133263.0293,1766.6259765625,146095569.0,45225625.0,14.80491626193512,71488716010000.0,93.76694444437987,0.1024,3.7636,3171961.0,14918.1796,2
2012-02-29,2314.0,441267.76943750004,1376302.26788638,29.0,0.0205126053248,38906.74326,12.7254423701015,5.79573115746,4.90284519619,159214.0,338421.94801077,45.0,12079.0,6713.0,6.63650636,8462900.0,7.28333333333333,0.38,1.96,1770.0,120.79,5354596.0,194717244344.3467,1894207932589.1929,841.0,0.00042076697721101327,1513734671.0995557,161.9368835147745,33.590499649552626,24.037891017803364,25349097796.0,114529414895.40433,2025.0,145902241.0,45064369.0,44.043216666320454,71620676410000.0,53.04694444444439,0.1444,3.8415999999999997,3132900.0,14590.224100000001,2
2012-03-01,2356.0,673421.518843,1496978.59503,29.0,0.0265932656769,33196.00752,9.89722287527,4.31341054054,3.54160189693929,235966.41546816,731389.395867,44.0,11932.0,7696.0,4.45115638,8461000.0,7.88333333333,0.44,1.99,1714.0,122.12,5550736.0,453496542040.81305,2240944913977.9927,841.0,0.0007072017793621876,1101974915.2678964,97.95502064276776,18.60551049124157,12.542943996403977,55680149228.8923,534930448386.6952,1936.0,142372624.0,59228416.0,19.8127931192147,71588521000000.0,62.1469444443919,0.1936,3.9601,2937796.0,14913.2944,3
2012-03-02,2409.0,197621.937436,1496978.59503,31.0,0.0280369776119403,36950.8110274022,8.85540994103,4.55732745774571,3.75413512811,158572.0,422063.143165,57.0522388059701,10220.0,7645.0,4.50574566,8475500.0,11.95,0.44,1.95,1707.0,123.12,5803281.0,39054430155.9583,2240944913977.9927,961.0,0.0007860721136124417,1365362435.5827878,78.41828522369296,20.769233557122973,14.093530560109487,25145079184.0,178137296818.3193,3254.9579527734404,104448400.0,58446025.0,20.30174395260883,71834100250000.0,142.80249999999998,0.1936,3.8024999999999998,2913849.0,15158.5344,2
2012-03-05,2537.0,208535.282091,1496978.59503,28.0,0.0243931379310345,37247.6906330359,11.0134510191,5.12488863965821,6.365731793,116310.0,360222.310629,48.1310344827586,11913.0,6979.0,5.18860926,8483600.0,9.16666666667,0.5,1.97,1705.0,122.39,6436369.0,43486963876.77295,2240944913977.9927,784.0,0.0005950251781224741,1387390457.4943502,121.29610335011482,26.26448356889778,40.522541260410996,13528016100.0,129760113074.89578,2316.5964803804973,141919569.0,48706441.0,26.921666052957747,71971468960000.0,84.02777777783889,0.25,3.8809,2907025.0,14979.312100000001,3
2012-03-06,2567.0,231054.452151,1496978.59502557,45.0,0.0199774543711,37791.78,11.0134510190988,5.74867356252,6.76172446066,110238.0,362054.094382371,33.0,11591.0,6574.0,4.97452409,8503450.0,8.9,0.46,1.95,1669.0,122.02,6589489.0,53386159858.79875,2240944913964.729,2025.0,0.0003990986831493825,1428218635.5684,121.29610335008842,33.04724772841639,45.72091768188777,12152416644.0,131083167259.0388,1089.0,134351281.0,43217476.0,24.74588992199033,72308661902500.0,79.21000000000001,0.2116,3.8024999999999998,2785561.0,14888.880399999998,3
