Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,Bitcoin_my_wallet_num_users_3,Volume_3,Difficulty_3,wallet_num_transaction_3,Bitcoin_Avg_Block_Size_3,Miners_Revenue_3,Hash_Rate_3,Bitcoin_Cost_Transaction_3,Bitcoin_Cost_percentage_of_Transaction_Volume_3,Estimated_Transaction_Volume_3,Total_Output_Volume_3,num_transaction_per_Block_3,num_of_unique_addresses_3,num_of_transaction_3,Total_transaction_fees_3,Total_Bitcoins_3,Median_transaction_confirmation_time_3,Class
2016-03-19,6494510.0,15007027.5693,165496835118.0,54666.0,0.681470185185,1384278.67,1110630.46004,7.32953871325,1.61029812043795,213215.92843033,5098832.83494,1291.0,358458.0,188863.0,38.06506394,15334350.0,8.81666666667,42178660140100.0,225210876465730.25,2.7389202434074478e+22,2988371556.0,0.4644016132960782,1916227436216.9688,1233500018768.662,53.722137749030466,2.5930600366859946,45461032136.40761,25998096278662.28,1666681.0,128492137764.0,35669232769.0,1448.9490927562886,235142289922500.0,77.7336111111699,2.7392973006648086e+20,3.3797458320274306e+21,4.532826319245548e+33,163362319480296.0,0.3164758534130912,2.652592766823935e+18,1.3699626933043878e+18,393.758488390068,4.175599703258219,9693016174365218.0,1.3255994695157467e+20,2151685171.0,4.605903471860791e+16,6736598308451647.0,55154.33986157312,3.605754173473088e+21,685.3513379637405,1
2020-10-29,55603227.0,310741338.15,19997335994446.0,96472.0,1.2985604074074077,12458484.387886178,107359880.12908651,45.12799068311,0.5833808104872593,160004.86911104003,2437235.1278990773,2556.203703703704,652778.0,276070.0,259.23173258999987,18529356.25,21.8375,3091718852813529.0,9.656017923525262e+16,3.998934468747656e+26,9306846784.0,1.6862591316860929,155213833243203.62,1.1526143861331824e+16,2036.535543094863,0.3403331700447716,25601558139.24105,5940115068665.231,6534177.374828533,426119117284.0,76214644900.0,67201.0911816132,343337043039414.06,476.87640624999995,1.7190954519317026e+23,3.0005239307566244e+25,7.996803619131829e+39,897850122946048.0,2.1897093450367544,1.933729118244421e+21,1.237445423303191e+24,91904.75701460734,0.1985438405764171,4096373959107945.5,1.447745710911354e+19,16702688406.193642,2.7816118514241494e+17,2.1040577017543e+16,17420655.29894815,6.361814384298886e+21,10413.788521484374,1
2015-03-09,3079550.0,1221588.5,47427554950.6483,59261.0,0.427822517243,1114781.46,311208.023870146,9.9226633555,1.27607385496,297083.0,1127088.02113918,574.0,210072.0,112347.0,16.8128673,13921125.0,8.88333333333333,9483628202500.0,1492278463332.25,2.249372968596764e+21,3511866121.0,0.18303210626013705,1242737703559.7314,96850434121.16138,98.4592480665825,1.6283644833124749,88258308889.0,1270327407395.4329,329476.0,44130245184.0,12621848409.0,282.6725068474093,193797721265625.0,78.91361111111104,2.9205307231008874e+19,1.8229502096043482e+18,1.0668226007262592e+32,208116698196581.0,0.07830525643650009,1.3853809515713646e+18,3.0140632213812396e+16,976.9779728003624,2.0779133435004984,2.6220043179670788e+16,1.4317708038001836e+18,189119224.0,9270528866293248.0,1418026803205923.0,4752.535346983834,2.6978823024539237e+21,701.0159120370361,1
2014-10-02,2285468.0,5568420.73926,34661425924.0,29311.0,0.278127440324,1286220.0,242947.064808,17.6926462901,3.25937042086305,126935.8178367,646978.005497,613.0,150641.0,72698.0,11.69504803,13341850.0,7.68333333333,5223363979024.0,31007309529420.887,1.2014144470849392e+21,859134721.0,0.07735487306118018,1654361888400.0,59023276298.82255,313.02973274658933,10.623495540396975,16112701849.871883,418580539596.8761,375769.0,22692710881.0,5284999204.0,136.77414842400688,178004961422500.0,59.03361111105989,1.1937831226412024e+19,1.726617454522815e+20,4.164273786165804e+31,25182097807231.0,0.021514512841093986,2.127873348097848e+18,1.4339531732150532e+16,5538.324339769939,34.62590713054042,2045278986872396.5,2.708124026482449e+17,230346397.0,3418452659824721.0,384208872132392.0,1599.5802350811093,2.3749154945547816e+21,453.57491203644673,2
2019-03-09,34055947.0,317288682.4932,6071846049921.0,56542.0,0.882423514493,7087594.99281,41652968.3921821,29.3353434634,2.11360496249,86329.4182518,819715.706955175,1735.44927536,458538.0,239492.0,24.54420613,17579525.0,7.05416666666667,1159807526066809.0,1.0067210803827069e+17,3.6867314453941253e+25,3196997764.0,0.7786712589301779,50234002782105.38,1734969775880120.8,860.5623761156452,4.4673259374623555,7452768455.69422,671933840229.0223,3011784.187347549,210257097444.0,57356418064.0,602.4180545519296,309039699225625.0,49.76126736111116,3.949834363793237e+22,3.1942120523275996e+25,2.238526576383586e+38,180764647572088.0,0.6871178289398564,3.560382665872537e+20,7.226664123612593e+22,25244.892875032067,9.442162270480727,643393165145447.9,5.5079472287043866e+17,5226798685.47301,9.641086894777686e+16,1.3736403274983488e+16,14785.872907356144,5.432771118529355e+21,351.02427350983845,1
2014-04-08,1481350.0,3635252.10153,6119726089.13,27036.0,0.244460763602,1611997.8,44110.9189228,25.078530757,3.44066898645744,118193.49206641,485103.878106,353.0,144875.0,64278.0,13.2776719,12620425.0,8.06666666667,2194397822500.0,13215057841678.281,3.745104740597837e+19,730945296.0,0.05976106494087293,2598536907204.8403,1945773168.2138355,628.9327049297949,11.838203074370066,13969701566.852526,235325772553.48093,124609.0,20988765625.0,4131661284.0,176.2965710840496,159275127180625.0,65.0711111111649,3.250671214360375e+18,4.804006679080148e+19,2.2919015187561023e+29,19761837022656.0,0.014609235569114507,4.188835777633007e+18,85829842465240.19,15772.708184665067,40.731338173370204,1651127811311899.5,1.141574448839841e+17,43986977.0,3040747419921875.0,265574924012952.0,2340.8080279490378,2.0101197969485393e+21,524.9069629636138,2
2013-03-22,151985.0,6772093.6775,4847647.15206561,10257.0,0.133904452551,334656.0,54.2200155746597,5.7697320782,2.2068126656,240709.0,1520085.09044572,319.0,50716.0,58002.0,62.01260975,10940875.0,5.85,23099440225.0,45861252776835.48,23499682910929.816,105206049.0,0.01793040241298301,111994638336.0,2939.81008891634,33.28980825421009,4.870022141052576,57940822681.0,2310658682195.3726,101761.0,2572112656.0,3364232004.0,3845.5637680057953,119702745765625.0,34.2225,3510768422596625.0,3.105766999722369e+20,1.139181709376138e+20,1079098444593.0,0.0024009607191296193,3.747967768697242e+16,159396.54880758567,192.07327456144307,10.747226542627255,1.3946877486720828e+16,3.5123978119141407e+18,32461759.0,130447265461696.0,195132184696008.0,238473.44521408292,1.3096527785784823e+21,200.20162499999998,2
2013-06-10,308385.0,1603831.4172,15605632.6813,7240.0,0.118736178160919,494760.665586696,136.533796666,10.4795531980576,3.07628946404,144557.0,569521.547653,258.620689655172,57169.0,45000.0,34.47766724,11274175.0,7.05,95101308225.0,2572275214797.7607,243535771383658.6,52417600.0,0.014098280004261497,244788116211.79044,18641.477632032635,109.82103523091926,9.46355686656351,20896726249.0,324354793241.06836,66884.66111771678,3268294561.0,2025000000.0,1188.7095383121693,127107021930625.0,49.7025,2.9327816936966624e+16,4.1254958031775273e+18,3.8005297929704277e+21,379503424000.0,0.001673975886348515,1.2111153130465893e+17,2545191.716565731,1150.8753809681764,29.112640280952718,3020768056376693.0,1.8472704383532208e+17,17297757.18561638,186845131757809.0,91125000000000.0,40983.93190694101,1.433026808974704e+21,350.402625,2
2020-03-06,46389789.0,122314466.7311,15486913440293.0,88006.0,1.07348889677419,18084440.7557398,119328089.641393,52.9639674437683,1.13971864963739,174643.04681735,949234.972177108,2183.11612903226,601698.0,338383.0,26.63263902,18256662.5,8.975,2152012523464521.0,1.4960828771713368e+16,2.3984448790712795e+26,7745056036.0,1.1523784114974676,327046997447862.75,1.4239192977464324e+16,2805.1818473845483,1.2989586003312754,30500193801.647102,901047032404.0751,4765996.032840799,362040483204.0,114503054689.0,709.2974611696266,333305725638906.25,80.550625,9.983140688887668e+22,1.8299257930674184e+24,3.714450823349092e+39,681611401504216.0,1.23706542962481,5.91446204968846e+21,1.6991356960359566e+24,148573.56003872503,1.4804473419044353,5326646774039303.0,8.55305354734348e+17,10404722810.198511,2.178390346628804e+17,3.874588715482789e+16,18890.46324113313,6.085050142307109e+21,722.9418593749999,2
2016-08-09,8241749.0,1885946.7891,201893210853.0,58556.0,0.88,949947.25,1254520.74348679,4.23,0.64,252030.11,2222267.86115352,1869.63,393099.0,233704.0,75.28,15805787.5,12.7,67926426579001.0,3556795291316.5996,4.076086858853392e+22,3428805136.0,0.7744,902399777782.5625,1573822295838.6484,17.892900000000004,0.4096,63519176346.61209,4938474446715.841,3495516.3369000005,154526823801.0,54617559616.0,5667.0784,249822918495156.25,161.29,5.598325583310549e+20,6.70792665914454e+18,8.229342636496303e+33,200777113543616.0,0.681472,8.572321873051564e+17,1.974392716691588e+18,75.68696700000002,0.26214400000000004,1.6008745001746042e+16,1.0974613046064525e+19,6535322208.958348,6.07443399093493e+16,1.2764342152497664e+16,426617.66195200005,3.9486479623642593e+21,2048.383,1
