Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,LT_Rate,AAA,Gold,Oil,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,LT_Rate_2,AAA_2,Gold_2,Oil_2,Bitcoin_my_wallet_num_users_3,Volume_3,Difficulty_3,wallet_num_transaction_3,Bitcoin_Avg_Block_Size_3,Miners_Revenue_3,Hash_Rate_3,Bitcoin_Cost_Transaction_3,Bitcoin_Cost_percentage_of_Transaction_Volume_3,Estimated_Transaction_Volume_3,Total_Output_Volume_3,num_transaction_per_Block_3,num_of_unique_addresses_3,num_of_transaction_3,Total_transaction_fees_3,Total_Bitcoins_3,Median_transaction_confirmation_time_3,LT_Rate_3,AAA_3,Gold_3,Oil_3,Bitcoin_my_wallet_num_users_4,Volume_4,Difficulty_4,wallet_num_transaction_4,Bitcoin_Avg_Block_Size_4,Miners_Revenue_4,Hash_Rate_4,Bitcoin_Cost_Transaction_4,Bitcoin_Cost_percentage_of_Transaction_Volume_4,Estimated_Transaction_Volume_4,Total_Output_Volume_4,num_transaction_per_Block_4,num_of_unique_addresses_4,num_of_transaction_4,Total_transaction_fees_4,Total_Bitcoins_4,Median_transaction_confirmation_time_4,LT_Rate_4,AAA_4,Gold_4,Oil_4,Class
2015-10-13,4516989.0,18384897.4317,60813224039.4,62389.0,0.555196656934307,919373.613058023,459502.348135,6.37727597082506,1.15578698651,331030.0,1604043.53239,984.510948905109,228578.0,134878.0,24.94470798,14722025.0,9.56666666667,0.96,2.64,1165.2,46.0,20403189626121.0,338004453574129.2,3.698248218066258e+21,3892387321.0,0.30824332787103054,845247840387.3635,211142407941.5787,40.66964880806272,1.3358435581858668,109580860900.0,2572955653802.189,969261.8085140381,52247902084.0,18192074884.0,622.2384562074757,216738020100625.0,91.5211111111749,0.9216,6.969600000000001,1357691.04,2116.0,9.216098310610267e+19,6.214177210418169e+21,2.249023974385752e+32,242842152569869.0,0.17113566515630166,7.770985609464216e+17,9.702043224003349e+16,259.36157408555243,1.5439506005644386,3.6274552383727e+16,4.127132875607685e+18,954248862.8376377,1.1942720962556552e+16,2453710676204152.0,15521.556584021499,3.1908225503719037e+21,875.5519629638784,0.8847359999999999,18.399744000000002,1581981599.808,97336.0,4.162901469194516e+26,1.1424701063594567e+29,1.3677039882430253e+43,1.5150679056681558e+19,0.09501394917700764,7.144439116795019e+23,4.4581116431368045e+22,1654.0203341711572,1.784478011946677,1.2007965075585148e+22,6.620100796432651e+24,939468453443.9039,2.7298432721792517e+21,3.3095158858506365e+20,387180.69638346264,4.697536935713892e+28,8376.113779024023,0.8493465599999999,48.57532416000001,1843324960096.282,4477456.0,2
2015-10-14,4528285.0,6466622.6288,60813224039.4403,61681.0,0.568599613497,1045411.92,459502.348135243,6.64901874984,1.12086339911,366146.0,1712379.2680133,1087.0,307247.0,157228.0,29.32881596,14726100.0,8.05,0.93,2.57,1173.9,45.21,20505365041225.0,41817208223308.23,3.69824821807116e+21,3804545761.0,0.32330552046893773,1092886082478.0865,211142407941.80206,44.20945033572387,1.2563347594644234,134062893316.0,2932242757521.7646,1181569.0,94400719009.0,24720643984.0,860.1794456155508,216858021210000.0,64.80250000000001,0.8649000000000001,6.604899999999999,1378041.2100000002,2043.9441000000002,9.285413693570354e+19,2.7041610497008642e+20,2.249023974390223e+32,234668187084241.0,0.1838313939800844,1.1425161378246949e+18,9.702043224018742e+16,293.9494642023483,1.408179648913338,4.9086592136080136e+16,5.021111706762419e+18,1284365503.0,2.9004337713358224e+16,3886777412316352.0,25228.044653033317,3.193472906140581e+21,521.6601250000001,0.8043570000000001,16.974592999999995,1617682576.4190004,92406.712761,4.204699954738923e+26,1.7486789035915169e+27,1.3677039882466508e+43,1.4474568447543069e+19,0.1045264595656907,1.1943999892742989e+24,4.458111643146236e+22,1954.4754989868356,1.5783770278385305,1.7972859364257198e+22,8.598047589038843e+24,1396105301761.0,8.911495749416174e+21,6.111102389836754e+20,739908.6786594762,4.702740136311681e+28,4199.364006250002,0.7480520100000002,43.62470400999999,1898997576458.2646,4177707.4839248103,1
2015-10-15,4538391.0,25643112.1254,60883825480.1,77786.0,0.525302483871,1023533.62,469115.464008,7.11355332384,1.23087038250219,359648.29763185,1706812.78992,1110.0,303248.0,143885.0,27.25756736,14725650.0,7.41666666667,0.96,2.6,1184.25,45.05,20596992868881.0,657569199475836.5,3.7068402050912737e+21,6050661796.0,0.27594269956104217,1047621071270.3044,220069318571.44113,50.60264089111511,1.5150418985210876,129346897989.48776,2913209899834.4937,1232100.0,91959349504.0,20702893225.0,742.9749783849373,216844767922500.0,55.0069444444939,0.9216,6.760000000000001,1402448.0625,2029.5024999999998,9.347720706319371e+19,1.6862120712368395e+22,2.256866121293952e+32,470656778463656.0,0.14495338548548456,1.0722753874655727e+18,1.0323792049556597e+17,359.9645843060738,1.8648202011394954,4.651939166587983e+16,4.972303916759076e+18,1367631000.0,2.788648881838899e+16,2978835791679125.0,20251.690520121974,3.193180156757962e+21,407.96817129684644,0.8847359999999999,17.576,1660849118.015625,91429.08762499999,4.242361152407348e+26,4.323972520992924e+29,1.3740664306081116e+43,3.6610508169573945e+19,0.0761443734410356,1.0975099089695402e+24,4.843050497649844e+22,2560.627265155155,2.2953519542743814,1.6730620019502953e+22,8.486791920493701e+24,1518070410000.0,8.456521961198825e+21,4.286097878857509e+20,552011.8185060981,4.7021653375362885e+28,3025.7639371196374,0.8493465599999999,45.69760000000001,1966860568010.004,4118880.397506249,1
2015-10-16,4547466.0,32045899.6602,60883825480.1,71548.0,0.577965236111111,1060255.17248348,396478.230872,6.92298512885068,0.942095301672,350601.0,1734621.27764,995.041666666667,313859.0,143286.0,28.3561839,14733250.0,7.25,0.98,2.6,1180.85,45.71,20679447021156.0,1026939685031606.5,3.7068402050912737e+21,5119116304.0,0.33404381415297224,1124141030777.974,157194987555.39093,47.927723094287664,0.8875435574324566,122921061201.0,3008910976841.426,990107.9184027783,98507471881.0,20530877796.0,804.0731653706193,217068655562500.0,52.5625,0.9603999999999999,6.760000000000001,1394406.7224999997,2089.4041,9.403908222750818e+19,3.290920610360025e+22,2.256866121293952e+32,366262533318592.0,0.19306571191837865,1.191876342483258e+18,6.232439056790745e+16,331.8029142414268,0.8361506154863703,4.30962469781318e+16,5.219321002953694e+18,985198633.3073648,3.091745661709878e+16,2941787355877656.0,22800.446546304396,3.198126769566203e+21,381.078125,0.9411919999999999,17.576,1646585178.2641246,95506.66141100001,4.276395291007977e+26,1.054605116692815e+30,1.3740664306081116e+43,2.620535173387862e+19,0.11158526977386544,1.263693057078566e+24,2.471026411253951e+22,2297.066641002715,0.7877335663398604,1.5109587286779987e+22,9.053545266556824e+24,980313690083.8828,9.703722016386006e+21,4.2151694307428585e+20,646533.6552691272,4.711880122771126e+28,2762.81640625,0.9223681599999999,45.69760000000001,1944370107753.1914,4365609.493096811,2
2015-10-19,4575077.0,16059630.12,60883825480.1,65413.0,0.510530327272727,1395310.92602596,502407.529196,8.3152222621063,1.38310905105,301928.0,1370688.34442,872.539393939394,266086.0,143969.0,28.30097624,14740975.0,7.7,1.01,2.6,1175.4,44.92,20931329555929.0,257911719591211.2,3.7068402050912737e+21,4278860569.0,0.2606412150651977,1946892580287.4216,252413325392.82962,69.1429212682282,1.9129906470964313,91160517184.0,1878786537528.8406,761324.993976125,70801759396.0,20727072961.0,800.9452561370446,217296343950625.0,59.290000000000006,1.0201,6.760000000000001,1381565.1600000001,2017.8064000000002,9.576244443075097e+19,4.141966820248009e+21,2.256866121293952e+32,279893106399997.0,0.13306524482799661,2.716520489073913e+18,1.268143551467575e+17,574.9387581966344,2.6458746785730702,2.752391263233075e+16,2.5752308086439905e+18,664286048.8348409,1.8839356950644056e+16,2984055967122209.0,22667.532663475213,3.203159973767564e+21,456.5330000000001,1.0303010000000001,17.576,1623891689.0640004,90639.86348800002,4.381205569789069e+26,6.651845510249555e+28,1.3740664306081116e+43,1.8308647768943004e+19,0.06793384299066264,3.790390719178215e+24,6.371248683586648e+22,4780.743561504404,3.659533215878423,8.310239893254359e+21,3.529838853599609e+24,579615746452.7468,5.012889133569075e+21,4.296115535306173e+20,641513.303328436,4.721770109430832e+28,3515.3041000000003,1.04060401,45.69760000000001,1908722291325.8262,4071542.6678809607,2
2015-10-20,4584778.0,4389432.475,60883825480.0983,69493.0,0.612539,864439.2,384372.025348773,6.26042294322,1.01653567061,315188.0,1571077.20841232,827.0,290886.0,138080.0,29.84547675,14744150.0,9.61666666666667,1.01,2.63,1177.75,43.87,21020189309284.0,19267117452584.62,3.7068402050910666e+21,4829277049.0,0.37520402652099993,747255130496.6399,147741853870.71777,39.19289542799537,1.0333447696225222,99343475344.0,2468283594792.648,683929.0,84614664996.0,19066086400.0,890.7524824347905,217389959222500.0,92.48027777777786,1.0201,6.916899999999999,1387095.0625,1924.5768999999998,9.637290150104048e+19,8.45717110460142e+19,2.256866121293763e+32,335600949966157.0,0.22982709920114675,6.45956627202411e+17,5.678783560107025e+16,245.36410174864443,1.0504318183595664,3.131187130672467e+16,3.877864099676759e+18,565609283.0,2.4613221442026456e+16,2632645210112000.0,26584.932504512322,3.2052301672704235e+21,889.3520046296308,1.0303010000000001,18.191446999999997,1633651209.859375,84431.18860299999,4.418483585981374e+26,3.71221814931691e+26,1.374066430607958e+43,2.332191681599815e+19,0.14077806151757122,5.5839023005355037e+23,2.182765538515653e+22,1536.0830520297802,1.0678014129062237,9.869126093423935e+21,6.092423904322517e+24,467758877041.0,7.159641532385308e+21,3.6351565061226496e+20,793439.9849637419,4.7258394370760215e+28,8552.601777854952,1.04060401,47.843505609999994,1924032712411.879,3703996.2440136094,1
2015-10-21,4593770.0,17489825.2984,60883825480.1,73478.0,0.643368337931,983560.5,438849.950201,6.10789537418,1.21001072943306,345602.7630727,1461543.98073,829.0,289412.0,161031.0,30.92973723,14747775.0,9.61666666667,1.0,2.59,1167.1,43.67,21102722812900.0,305893988968552.6,3.7068402050912737e+21,5399016484.0,0.4139228182520974,967391257160.25,192589278791.4202,37.30638590192944,1.464125965343126,119441269843.48482,2136110807608.0945,687241.0,83759305744.0,25930982961.0,956.6486451168481,217496867450625.0,92.48027777784188,1.0,6.708099999999999,1362122.4099999997,1907.0689000000002,9.694105497621563e+19,5.350032426890682e+21,2.256866121293952e+32,396708933211352.0,0.26630483561056734,9.514878285881641e+17,8.451779540686126e+16,227.86350187776878,1.771608127306719,4.127923288282031e+16,3.1220198930319094e+18,569722789.0,2.424094819398253e+16,4175692117192791.0,29588.891214899635,3.207594864366641e+21,889.3520046305542,1.0,17.373979,1589733064.7109997,83281.69886300001,4.453249101180901e+26,9.3571132487093e+28,1.3740664306081116e+43,2.914937899450372e+19,0.1713320994697589,9.35845844430089e+23,3.7090630305399374e+22,1391.7664290636799,2.1436648423919404,1.4266216941824156e+22,4.562969382380106e+24,472300192081.0,7.015621298716871e+21,6.724158773236724e+20,915176.6302039012,4.730488735083474e+28,8552.601777866796,1.0,44.99860560999999,1855377459824.2075,3636911.7893472104,1
2015-10-22,4602627.0,25322556.8264,60883825480.1,75097.0,0.546734439189189,1209253.90418724,475168.56677,7.21628128748211,1.17712789921,335902.0,1621906.31296,995.959459459459,289944.0,147402.0,29.4120876,14748925.0,8.98333333333,0.96,2.57,1167.0,43.44,21184175301129.0,641231884226257.2,3.7068402050912737e+21,5639559409.0,0.29891854699551695,1462295004792.0825,225785166846.25592,52.07471562006445,1.385630091098548,112830153604.0,2630580088019.5015,991935.2448867778,84067523136.0,21727349604.0,865.0708969900737,217530788655625.0,80.70027777771789,0.9216,6.604899999999999,1361889.0,1887.0335999999998,9.750285721370947e+19,1.6237630827218946e+22,2.256866121293952e+32,423513992937673.0,0.16342906415484118,1.7682859436183245e+18,1.0728601412826074e+17,375.78579588002344,1.6310638382169949,3.789987425589081e+16,4.266554451505702e+18,987927290.3162214,2.4374873928144384e+16,3202654786328808.0,25443.541002482623,3.2083452870726637e+21,724.9574953695634,0.8847359999999999,16.974592999999995,1589324463.0,81972.73958399998,4.48769283188964e+26,4.111783293483562e+29,1.3740664306081116e+43,3.180463032764043e+19,0.08935229773791108,2.1383066810398764e+24,5.0978941567791624e+22,2711.776006910585,1.9199707493577705,1.2730643562302234e+22,6.919951599484688e+24,983935530048.5919,7.067348446221895e+21,4.72077720814439e+20,748347.6568192107,4.731964401313819e+28,6512.534833400828,0.8493465599999999,43.62470400999999,1854741648321.0,3560895.807528959,1
2015-10-23,4611251.0,8290061.385,60883825480.0983,69478.0,0.520110136364,1075873.54,466088.912627646,7.35780894804,1.30048451469,298197.0,1457532.56793889,1138.0,281281.0,146222.0,28.1587973,14755550.0,7.8,0.96,2.61,1161.25,43.45,21263635785001.0,68725117767068.12,3.7068402050910666e+21,4827192484.0,0.2705145539485787,1157503874072.1316,217238874474.42142,54.137352515857486,1.6912599729484847,88921450809.0,2124401186602.5352,1295044.0,79119000961.0,21380873284.0,792.9178653824873,217726255802500.0,60.839999999999996,0.9216,6.812099999999999,1348501.5625,1887.9025000000001,9.805196177722165e+19,5.697354449803488e+20,2.256866121293763e+32,335383679403352.0,0.14069736154264192,1.2453277905616986e+18,1.0125263078423677e+17,398.332296764372,2.1994574051345324,2.6516109866891372e+16,3.096383916841218e+18,1473760072.0,2.225467170931104e+16,3126354053333048.0,22327.613446854146,3.212670653806579e+21,474.55199999999996,0.8847359999999999,17.779580999999997,1565947439.453125,82029.36362500001,4.521422067971751e+26,4.7231418120973817e+27,1.374066430607958e+43,2.330178727758609e+19,0.0731781238979985,1.3398152184919932e+24,4.719272858291343e+22,2930.852937426221,2.860360296097709,7.907024413977407e+21,4.51308040163826e+24,1677138961936.0,6.259816313066718e+21,4.5714174238646495e+20,628718.7412427202,4.740472246577567e+28,3701.5055999999995,0.8493465599999999,46.40470640999999,1818456464064.9414,3564175.849506251,1
2015-10-26,4633433.0,8441415.976,60883825480.0983,46463.0,0.501171947368,1089933.75,460035.809866248,8.64745400306,1.22891778844,311249.0,1557555.6234375,1021.0,277058.0,126041.0,25.28704706,14766700.0,7.01666666666667,0.96,2.59,1166.4,43.13,21468701365489.0,71257503679868.03,3.7068402050910666e+21,2158810369.0,0.2511733208286333,1187955579389.0625,211632946359.29468,74.77846073503842,1.5102389307442605,96875940001.0,2425979520101.78,1042441.0,76761135364.0,15886333681.0,639.4347490146546,218055428890000.0,49.23361111111116,0.9216,6.708099999999999,1360488.9600000002,1860.1969000000001,9.947378937400179e+19,6.015142299731168e+20,2.256866121293763e+32,100304806174847.0,0.12588102232657358,1.2947928794769436e+18,9.735873387277835e+16,646.643299625873,1.855959486786227,3.015253944937125e+16,3.778598043878735e+18,1064332261.0,2.126728664167911e+16,2002329383486921.0,16169.416590132858,3.219959101789963e+21,345.45583796296347,0.8847359999999999,17.373979,1586874322.9440005,80230.292297,4.6090513832054926e+26,5.077631830686405e+27,1.374066430607958e+43,4.660462209301916e+18,0.06308803709608357,1.4112384586016032e+24,4.47885039847161e+22,5591.818189901683,2.2808216279355675,9.384947751077352e+21,5.88537663195326e+24,1086683238481.0,5.892271902370331e+21,2.52375597824075e+20,408876.7982474343,4.754817006840184e+28,2423.9484630401284,0.8493465599999999,44.99860560999999,1850930210281.882,3460332.506769611,1
2015-10-27,4642084.0,32420944.1352,60883825480.1,46468.0,0.532480018987,1173025.4,478195.11815,8.28355118672,0.999557772917115,421177.27133246,1817399.43008,985.0,294013.0,141609.0,30.03937533,14770650.0,7.01666666667,0.95,2.56,1165.7,42.4,21548943863056.0,1051117618617759.4,3.7068402050912737e+21,2159275024.0,0.2835349706203959,1375988589045.1597,228670571022.49246,68.61722026301032,0.9991157413990228,177390293887.0566,3302940688455.109,970225.0,86443644169.0,20053108881.0,902.3640702166125,218172101422500.0,49.23361111115789,0.9025,6.5536,1358856.49,1797.76,1.0003200752359046e+20,3.407822559273084e+22,2.256866121293952e+32,100337191815232.0,0.1509767065394269,1.614069565060134e+18,1.0934915072752875e+17,568.3942563390868,0.9986739053592395,7.471275994021366e+16,6.002762524786358e+18,955671625.0,2.5415555153060196e+16,2839700695529529.0,27106.452989543297,3.22254374987625e+21,345.45583796345534,0.8573749999999999,16.777216000000003,1584019010.3930001,76225.02399999999,4.643569816131388e+26,1.1048482481686695e+30,1.3740664306081116e+43,4.6624686292702e+18,0.08039207956470877,1.8933445971824896e+24,5.229023005175277e+22,4708.3229166224755,0.9982322647113191,3.1467316365336318e+22,1.090941719145231e+25,941336550625.0,7.472503617216688e+21,4.021271757932411e+20,814260.9152178916,4.759906583910962e+28,2423.9484630447296,0.8145062499999999,42.94967296,1846490960415.1204,3231941.0175999994,1
2015-10-28,4653806.0,37507904.6835,60883825480.1,61184.0,0.59279264028777,1153912.62821789,411610.987775,6.82841063642701,0.900149459192,380826.0,1982987.32026,1152.3381294964,274092.0,160175.0,30.11709528,14772400.0,7.38333333333,0.99,2.63,1179.6,43.2,21657910285636.0,1406842913746521.2,3.7068402050912737e+21,3743481856.0,0.3514031143793455,1331514353560.7183,169423605257.11118,46.62719181966952,0.81026904888365,145028442276.0,3932238712311.9355,1327883.1646912617,75126424464.0,25656030625.0,907.0394281045983,218223801760000.0,54.5136111110619,0.9801,6.916899999999999,1391456.1599999997,1866.2400000000002,1.0079171283475453e+20,5.276772991346193e+22,2.256866121293952e+32,229041193877504.0,0.20830917997827747,1.5364512272270932e+18,6.973661751228121e+16,318.3896125681538,0.7293632461526337,5.5230601558199976e+16,7.797579506750078e+18,1530170402.1900885,2.059155193418669e+16,4109454705359375.0,27317.392878942897,3.223689289119424e+21,402.492162036492,0.970299,18.191446999999997,1641361686.3359997,80621.56800000001,4.690650779406576e+26,1.9792069839588016e+30,1.3740664306081116e+43,1.4013656406201205e+19,0.12348414879550337,1.7729304737382175e+24,2.8704358018317434e+22,2174.0950169882562,0.6565359315788147,2.1033249069003065e+22,1.5462501290604629e+25,1763273699070.4805,5.643979652745097e+21,6.582319074309379e+20,822720.5241363168,4.762162765458778e+28,2971.7337963680907,0.96059601,47.843505609999994,1936150245201.945,3482851.737600001,1
2015-10-29,4665697.0,9523730.4594,62253982449.7608,69482.0,0.598327013514,1158573.88,458010.013458184,6.99528975619,0.777191552607,480319.0,2350028.92719124,1126.0,297971.0,165622.0,33.48909435,14777750.0,7.61666666666667,1.02,2.71,1148.6,44.34,21768728495809.0,90701441863303.34,3.875558330855126e+21,4827748324.0,0.3579952151005823,1342293435418.2542,209773172427.9659,48.93407877305675,0.6040267094436793,230706341761.0,5522635958635.609,1267876.0,88786716841.0,27430646884.0,1121.519440383202,218381895062500.0,58.01361111111116,1.0404,7.3441,1319281.9599999997,1966.0356000000004,1.0156629123671056e+20,8.638160845850403e+20,2.412689403120793e+32,335441609048168.0,0.21419820790343344,1.5551461135710559e+18,9.607821352689862e+16,342.3080599697584,0.4694444561286304,1.1081263936830176e+17,1.2978354257140206e+19,1427628376.0,2.6455866803829612e+16,4543118598221848.0,37558.67035435225,3.2271930497598593e+21,441.8703379629635,1.0612080000000002,19.902511,1515327259.2559996,87174.01850400002,4.7387754032424674e+26,8.226751556082195e+27,1.5019952375860572e+43,2.330715387988481e+19,0.12816057403491218,1.801751666766939e+24,4.400478387049312e+22,2394.5440653677233,0.3648482657213589,5.322541612874333e+22,3.0499507931615054e+25,1607509551376.0,7.883081087403913e+21,7.524403884746989e+20,1257805.8551574508,4.769065209108876e+28,3365.57907415124,1.08243216,53.93580481,1740504889981.4412,3865295.9804673614,1
2015-10-30,4677539.0,55263289.9077,62253982449.8,66995.0,0.552608969512,1360583.6,507524.609508,8.24906085923,0.795907076470316,566470.50127734,2576175.75345,1362.0,308255.0,164938.0,33.21211626,14781850.0,7.61666666667,0.98,2.7,1142.35,43.66,21879371096521.0,3054031211422497.0,3.8755583308600065e+21,4488330025.0,0.3053766731851145,1851187732588.9602,257581229256.2479,68.04700505928037,0.6334680743755254,320888828817.4009,6636681512663.676,1855044.0,95021145025.0,27204543844.0,1103.0446664677565,218503089422500.0,58.013611111161886,0.9603999999999999,7.290000000000001,1304963.5224999997,1906.1955999999998,1.0234161159944974e+20,1.687758122240057e+23,2.4126894031253503e+32,300695670024875.0,0.16875388868182895,2.518695669481725e+18,1.3072881279486784e+17,561.3238860223354,0.5041817231135052,1.8177405571449162e+17,1.7097257996294031e+19,2526569928.0,2.9290743059681376e+16,4487063052541672.0,36634.447702700054,3.229879892379982e+21,441.8703379635431,0.9411919999999999,19.683000000000003,1490725079.9278746,83224.49989599998,4.787068795792785e+26,9.327106640342765e+30,1.5019952375898403e+43,2.01451064133165e+19,0.09325491252560826,3.426896021287856e+24,6.6348089665159745e+22,4630.394897537729,0.40128180125303625,1.0296964045980318e+23,4.404554150053182e+25,3441188241936.0,9.029018001862083e+21,7.400872057601183e+20,1216707.5362229643,4.774360008717703e+28,3365.5790741571254,0.9223681599999999,53.144100000000016,1702929795055.6074,3633581.665459359,2
2015-11-02,4711290.0,70310557.4196,62253982449.8,65543.0,0.598349689655,1245221.95,448726.026699,7.79940591021,0.750908472938858,568573.58886021,2318357.45566,991.0,309823.0,159656.0,30.92341672,14793250.0,8.5,1.0,2.72,1134.0,43.95,22196253464100.0,4943574484654868.0,3.8755583308600065e+21,4295884849.0,0.35802235111023484,1550577704761.8025,201355047037.07166,60.83073255221868,0.5638635347313676,323275925949.37915,5374781292214.309,982081.0,95990291329.0,25490038336.0,956.2577016387755,218840245562500.0,72.25,1.0,7.398400000000001,1285956.0,1931.6025000000002,1.0457298698287969e+20,3.4758547766139557e+23,2.4126894031253503e+32,281565180658007.0,0.21422256267636247,1.930813393150016e+18,9.035325021273541e+16,474.4435749901782,0.423409905811038,1.8380615340914602e+17,1.246066428134693e+19,973242271.0,2.974000003042477e+16,4069637560572416.0,29570.755399485282,3.2373584626674534e+21,614.125,1.0,20.123648000000003,1458274104.0,84893.92987500002,4.926736678425713e+26,2.443892868533064e+31,1.5019952375898403e+43,1.8454626635867754e+19,0.12818000389450027,2.4042912185043792e+24,4.054385496730133e+22,3700.378022839557,0.3179420857997522,1.0450732429842847e+23,2.8888273939136916e+25,964483090561.0,9.214136029426292e+21,6.497420543707497e+20,914428.7919434734,4.78910530778553e+28,5220.0625,1.0,54.73632256000002,1653682833936.0,3731088.218006251,1
2015-11-03,4724172.0,171565483.282,62253982449.8,73181.0,0.683601516129032,1978231.68590037,488956.635989,9.22102074673303,0.632612484225,629453.0,2921589.02777,1202.33548387097,360192.0,186362.0,34.34305541,14795450.0,8.4,1.02,2.75,1123.1,43.89,22317801085584.0,2.9434715053786224e+16,3.8755583308600065e+21,5355458761.0,0.4673110328539112,3913400603100.2197,239078591877.6794,85.02722361168097,0.40019855519732594,396211079209.0,8535682447186.054,1445610.6157752394,129738276864.0,34730795044.0,1179.4454548943302,218905340702500.0,70.56,1.0404,7.5625,1261353.6099999999,1926.3321,1.0543313099008554e+20,5.049981113470794e+24,2.4126894031253503e+32,391917827588741.0,0.3194545305627576,7.741613072674472e+18,1.1689906402149718e+17,784.0377929604188,0.2531706021866362,2.493962524413427e+17,2.493775618222776e+19,1738108939.2071333,4.673068942019789e+16,6472500425989928.0,40505.76061050864,3.2388030230968035e+21,592.7040000000001,1.0612080000000002,20.796875,1416626239.3909996,84546.715869,4.9808424529569434e+26,8.664024502975893e+32,1.5019952375898403e+43,2.8680938540771656e+19,0.21837960142698923,1.5314704280345163e+25,5.7158573094214e+22,7229.628755110798,0.16015888358202712,1.5698321928796047e+23,7.285787483920011e+25,2089790052442.067,1.6832020483639918e+22,1.206228124388335e+21,1391091.5810708934,4.79195481880776e+28,4978.713600000001,1.08243216,57.19140625,1591012929460.0315,3710755.3594904104,2
2015-11-04,4738010.0,31163707.43,62253982449.7608,88728.0,0.773893503226,1713673.05,479672.649229855,8.11701843966,0.510938719471,767411.0,11057976.9337106,1039.0,392233.0,211121.0,46.51890714,14801075.0,9.88333333333333,1.03,2.76,1114.7,44.43,22448738760100.0,971176660782637.1,3.875558330855126e+21,7872657984.0,0.598911154335411,2936675322296.3027,230085850419.1875,65.88598834978048,0.2610583750546652,588919642921.0,122278853866475.67,1079521.0,153846726289.0,44572076641.0,2164.0087214999435,219071821155625.0,97.6802777777777,1.0609,7.617599999999999,1242556.09,1974.0249,1.063623487327414e+20,3.026546531947446e+22,2.412689403120793e+32,698525197604352.0,0.4634934513497588,5.032501356419238e+18,1.103658894208758e+17,534.7977823503921,0.13338483185761071,4.5194341209364755e+17,1.352156745536057e+21,1121622319.0,6.0343762992513336e+16,9410101392524560.0,100667.320765606,3.242498455310992e+21,965.4067453703692,1.092727,21.024575999999996,1385077273.5230002,87705.926307,5.039458719192161e+26,9.431841064489136e+29,1.5019952375860572e+43,6.197874373303894e+19,0.3586945707873744,8.624061948584093e+24,5.293949856312072e+22,4340.963460827408,0.06815147518618227,3.468263458181982e+23,1.4952118102898913e+28,1165365589441.0,2.3668815189842483e+22,1.986670016091178e+21,4682933.746727819,4.799246282444214e+28,9541.436666743812,1.1255088100000001,58.02782975999998,1543945636796.0884,3896774.3058200097,2
2015-11-05,4750692.0,144544320.094,62253982449.8,81843.0,0.768430583893,1504000.0,461104.675711,7.9439696608,0.51304624786855,749873.20607039,3874950.61169,1077.0,358734.0,189326.0,35.65030072,14804800.0,9.88333333333,1.06,2.77,1106.3,43.28,22569074478864.0,2.0893060471436736e+16,3.8755583308600065e+21,6698276649.0,0.5904855622621369,2262016000000.0,212617521962.54648,63.10665397171086,0.26321645245199765,562309825182.2855,15015242243036.707,1159929.0,128690082756.0,35844334276.0,1270.9439414264323,219182103040000.0,97.6802777777119,1.1236000000000002,7.6729,1223899.69,1873.1584,1.0721872157414338e+20,3.0199732205266506e+24,2.4126894031253503e+32,548207055784107.0,0.45374716538948023,3.402072064e+18,9.803893351501642e+16,501.3173445458749,0.135042213307768,4.2166107141432096e+17,5.818332211432862e+19,1249243533.0,4.6165508147390904e+16,6786264431137976.0,45309.533710114374,3.244947199086592e+21,965.4067453693937,1.191016,21.253933,1354000227.047,81070.29555200001,5.093631228325103e+26,4.3651997586311224e+32,1.5019952375898403e+43,4.486691006653867e+19,0.348673199240032,5.116716384256e+24,4.5206210645493924e+22,3982.4497755052503,0.06928290084141475,3.1619233949653246e+23,2.2545749961707398e+26,1345435285041.0,1.6561137399746129e+22,1.2848162996896284e+21,1615298.5022485545,4.804079429303718e+28,9541.436666730957,1.2624769600000003,58.87339441,1497930451182.096,3508722.3914905605,2
