Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,LT_Rate,AAA,Gold,Oil,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,LT_Rate_2,AAA_2,Gold_2,Oil_2,Bitcoin_my_wallet_num_users_3,Volume_3,Difficulty_3,wallet_num_transaction_3,Bitcoin_Avg_Block_Size_3,Miners_Revenue_3,Hash_Rate_3,Bitcoin_Cost_Transaction_3,Bitcoin_Cost_percentage_of_Transaction_Volume_3,Estimated_Transaction_Volume_3,Total_Output_Volume_3,num_transaction_per_Block_3,num_of_unique_addresses_3,num_of_transaction_3,Total_transaction_fees_3,Total_Bitcoins_3,Median_transaction_confirmation_time_3,LT_Rate_3,AAA_3,Gold_3,Oil_3,Class
2012-02-22,2108.0,681747.658978,1376302.26789,31927.5,0.0195836352201258,38594.8260184052,11.4939479472,5.14940974228221,6.70532457547,125333.0,810128.36467,45.2452830188679,13080.0,7194.0,3.413929,8407200.0,12.05,0.37,2.0,1752.0,120.87,4443664.0,464779870521.98346,1894207932599.1575,1019365256.25,0.00038351876843495175,1489560595.390967,132.1108394129431,26.516420693910938,44.96137766240193,15708360889.0,656307967242.8885,2047.1356354574561,171086400.0,51753636.0,11.654911217041,70681011840000.0,145.20250000000001,0.1369,4.0,3069504.0,14609.556900000001,9367243712.0,3.168625886684602e+17,2.607002673491449e+18,32545784218921.875,7.510691661101992e-06,57489332022986.43,1518.4751114732665,136.5439150516786,301.4806305866915,1968775995301037.0,5.3169370022237325e+17,92623.2312042826,2237810112000.0,372315657384.0,39.78903939628157,5.94229402741248e+20,1749.6901250000003,0.050653,8.0,5377771008.0,1765857.142503,2
2012-02-23,2159.0,510127.05714650004,1376302.26788638,4.0,0.0230002896539,37704.69612,11.4939479471885,5.23458227405,4.33015572605,167523.0,692032.488498299,36.0,12673.0,7203.0,4.33478143,8414450.0,12.4,0.35,1.98,1777.0,121.69,4661281.0,260229614432.94852,1894207932589.1929,16.0,0.0005290133241632994,1421644109.501543,132.11083941267876,27.40085158379847,18.750248611843602,28063955529.0,478908965137.1484,1296.0,160604929.0,51883209.0,18.790330045872842,70802968802500.0,153.76000000000002,0.12249999999999998,3.9204,3157729.0,14808.4561,10063705679.0,1.327501673930484e+17,2.607002673470877e+18,64.0,1.2167459686528384e-05,53602659139543.69,1518.4751114687087,143.43201199442635,81.19149639143563,4701358022084667.0,3.3142056290800595e+17,46656.0,2035346265217.0,373714754427.0,81.45197374642063,5.957680408401961e+20,1906.6240000000003,0.04287499999999999,7.762392,5611284433.0,1802041.022809,1
2012-02-24,2159.0,338506.455315,1376302.26789,16.0,0.0181011782435,42354.78,11.4255315904,6.42908014572,3.91162511641953,195684.93662901,523252.137539,43.0,12250.0,6588.0,4.26574148,8414250.0,9.81666666667,0.35,1.99,1777.5,122.86,4661281.0,114586620289.92612,1894207932599.1575,256.0,0.00032765265380295774,1793927388.8483999,130.54277212322836,41.3330715200911,15.300811051404102,38292594423.49966,273792799439.1326,1849.0,150062500.0,43401744.0,18.19655037419259,70799603062500.0,96.3669444445099,0.12249999999999998,3.9601,3159506.25,15094.5796,10063705679.0,3.878831066086875e+16,2.607002673491449e+18,4096.0,5.930899088443137e-06,75981399890648.42,1491.5205667923342,265.7336294714425,59.8510368102618,7493283913122911.0,1.4326266754931286e+17,79507.0,1838265625000.0,285930689472.0,77.62177972410285,5.957255600686406e+20,946.0021712972601,0.04287499999999999,7.880599,5616022359.375,1854520.049656,2
2012-02-27,2253.0,269874.599328,1376302.26789,23.0,0.0194628969828,37525.0,10.2624535243,5.66244152709,7.24766473222704,121501.15885747,386149.323537,46.0,11537.0,6627.0,5.47527216,8438050.0,9.26666666667,0.31,1.95,1772.0,123.24,5076009.0,72832299362.44853,1894207932599.1575,529.0,0.0003788043589630854,1408125625.0,105.31795233841748,32.06324404771333,52.528644070767655,14762531603.70816,149111300068.0827,2116.0,133102369.0,43917129.0,29.978605226071068,71200687802500.0,85.8711111111729,0.0961,3.8024999999999998,3139984.0,15188.0976,11436248277.0,1.9655587608577748e+16,2.607002673491449e+18,12167.0,7.372630215134123e-06,52839914078125.0,1080.820591147452,181.55624458899325,380.7100010634098,1793664697520566.5,5.757922765301276e+16,97336.0,1535602031153.0,291038813883.0,164.14102258993742,6.007949637118852e+20,795.7389629638217,0.029790999999999998,7.414874999999999,5564051648.0,1871781.1482239997,2
2012-02-28,2282.0,209114.020032,1376302.26789,23.0,0.01934171875,42691.7653438576,12.7254423701,6.14977893169945,8.87563591594,104815.0,342453.111043,42.03125,12087.0,6725.0,3.84771572,8455100.0,9.68333333333,0.32,1.94,1781.0,122.14,5207524.0,43728673373.943695,1894207932599.1575,529.0,0.00037410208420410155,1822586828.175001,161.9368835147363,37.819780908774426,78.7769129123241,10986184225.0,117274133263.0293,1766.6259765625,146095569.0,45225625.0,14.80491626193512,71488716010000.0,93.76694444437987,0.1024,3.7636,3171961.0,14918.1796,11883569768.0,9144278679891646.0,2.607002673491449e+18,12167.0,7.23577729646455e-06,77809449187252.86,2060.7184787603737,232.58329183427003,699.1951975915013,1151516899543375.0,4.016089178079575e+16,74253.49807739258,1765857142503.0,304142328125.0,56.9651090343314,6.04444242736151e+20,907.9765787027658,0.032768000000000005,7.301384,5649262541.0,1822106.456344,1
2012-02-29,2314.0,441267.76943750004,1376302.26788638,29.0,0.0205126053248,38906.74326,12.7254423701015,5.79573115746,4.90284519619,159214.0,338421.94801077,45.0,12079.0,6713.0,6.63650636,8462900.0,7.28333333333333,0.38,1.96,1770.0,120.79,5354596.0,194717244344.3467,1894207932589.1929,841.0,0.00042076697721101327,1513734671.0995557,161.9368835147745,33.590499649552626,24.037891017803364,25349097796.0,114529414895.40433,2025.0,145902241.0,45064369.0,44.043216666320454,71620676410000.0,53.04694444444439,0.1444,3.8415999999999997,3132900.0,14590.224100000001,12390535144.0,8.592244408284654e+16,2.607002673470877e+18,24389.0,8.631026937238631e-06,58894486212230.96,2060.7184787611027,194.68150541356135,117.85405850317598,4035931256492344.0,3.875926769343643e+16,91125.0,1762353169039.0,302517109097.0,292.2930875208937,6.06118622390189e+20,386.35857870370313,0.054872000000000004,7.529535999999999,5545233000.0,1762353.1690390003,1
2012-03-01,2356.0,673421.518843,1496978.59503,29.0,0.0265932656769,33196.00752,9.89722287527,4.31341054054,3.54160189693929,235966.41546816,731389.395867,44.0,11932.0,7696.0,4.45115638,8461000.0,7.88333333333,0.44,1.99,1714.0,122.12,5550736.0,453496542040.81305,2240944913977.9927,841.0,0.0007072017793621876,1101974915.2678964,97.95502064276776,18.60551049124157,12.542943996403977,55680149228.8923,534930448386.6952,1936.0,142372624.0,59228416.0,19.8127931192147,71588521000000.0,62.1469444443919,0.1936,3.9601,2937796.0,14913.2944,13077534016.0,3.0539433013117274e+17,3.3546465688663997e+18,24389.0,1.880680480575507e-05,36581167574084.45,969.4826710531462,80.25320506504893,44.4221142508676,1.313864522627395e+16,3.912424574764084e+17,85184.0,1698790149568.0,455821889536.0,88.1898404982126,6.05710476181e+20,489.92507870308236,0.085184,7.880599,5035382344.0,1821211.5121280001,2
2012-03-02,2409.0,197621.937436,1496978.59503,31.0,0.0280369776119403,36950.8110274022,8.85540994103,4.55732745774571,3.75413512811,158572.0,422063.143165,57.0522388059701,10220.0,7645.0,4.50574566,8475500.0,11.95,0.44,1.95,1707.0,123.12,5803281.0,39054430155.9583,2240944913977.9927,961.0,0.0007860721136124417,1365362435.5827878,78.41828522369296,20.769233557122973,14.093530560109487,25145079184.0,178137296818.3193,3254.9579527734404,104448400.0,58446025.0,20.30174395260883,71834100250000.0,142.80249999999998,0.1936,3.8024999999999998,2913849.0,15158.5344,13980103929.0,7718012152879423.0,3.3546465688663997e+18,29791.0,2.2039086250722622e-05,50451249341133.195,694.4260625284167,94.65219836621013,52.90901815479883,3987305496365248.0,7.51851874100564e+16,185702.63842502187,1067462648000.0,446819861125.0,91.47449470489848,6.08829916668875e+20,1706.4898749999998,0.085184,7.414874999999999,4973940243.0,1866318.7553280003,1
2012-03-05,2537.0,208535.282091,1496978.59503,28.0,0.0243931379310345,37247.6906330359,11.0134510191,5.12488863965821,6.365731793,116310.0,360222.310629,48.1310344827586,11913.0,6979.0,5.18860926,8483600.0,9.16666666667,0.5,1.97,1705.0,122.39,6436369.0,43486963876.77295,2240944913977.9927,784.0,0.0005950251781224741,1387390457.4943502,121.29610335011482,26.26448356889778,40.522541260410996,13528016100.0,129760113074.89578,2316.5964803804973,141919569.0,48706441.0,26.921666052957747,71971468960000.0,84.02777777783889,0.25,3.8809,2907025.0,14979.312100000001,16329068153.0,9068566279323974.0,3.3546465688663997e+18,21952.0,1.4514531242379885e-05,51677090547975.695,1335.888693054181,134.60255346873396,257.9556292345526,1573443552591000.0,4.674248775931927e+16,111500.18507983092,1690687825497.0,339922251739.0,139.6860057770042,6.10577154069056e+20,770.2546296304699,0.125,7.645372999999999,4956477625.0,1833318.007919,2
2012-03-06,2567.0,231054.452151,1496978.59502557,45.0,0.0199774543711,37791.78,11.0134510190988,5.74867356252,6.76172446066,110238.0,362054.094382371,33.0,11591.0,6574.0,4.97452409,8503450.0,8.9,0.46,1.95,1669.0,122.02,6589489.0,53386159858.79875,2240944913964.729,2025.0,0.0003990986831493825,1428218635.5684,121.29610335008842,33.04724772841639,45.72091768188777,12152416644.0,131083167259.0388,1089.0,134351281.0,43217476.0,24.74588992199033,72308661902500.0,79.21000000000001,0.2116,3.8024999999999998,2785561.0,14888.880399999998,16915218263.0,1.2335109918620454e+16,3.3546465688366167e+18,91125.0,7.972975732182886e-06,53974924467301.14,1335.8886930537446,189.9778393303964,309.15224745344284,1339658106001272.0,4.745919741074416e+16,35937.0,1557265698071.0,284111687224.0,123.09902554542911,6.148730910548136e+20,704.969,0.097336,7.414874999999999,4649101309.0,1816741.1864079998,2
