Date,Bitcoin_Price,Growth,Class
2015-04-07,245.89,0.03257554190898377,2
2015-04-08,253.9,-0.0716423788893265,3
2015-04-09,235.71,0.004200076365024737,2
2015-04-10,236.7,-0.0029573299535276243,3
2015-04-11,236.0,-0.0424152542372881,3
2015-04-12,225.99,-0.04420549581839908,3
2015-04-13,216.0,0.03245370370370366,2
2015-04-14,223.01,0.02963992646069689,2
2015-04-15,229.62,-0.030267398310251794,3
2015-04-16,222.67,0.021691292046526308,2
2015-04-17,227.5,-0.00782417582417583,3
2015-04-18,225.72,-0.004828991671096949,3
2015-04-19,224.63,-0.008992565552241384,3
2015-04-20,222.61,0.06616953416288572,2
2015-04-21,237.34,-0.007836858515210304,3
2015-04-22,235.48,-0.008026159334125984,3
2015-04-23,233.59,-0.021362215848281216,3
2015-04-24,228.6,-0.04453193350831149,3
2015-04-25,218.42,0.0360314989469829,2
2015-04-26,226.29,-0.01604136285297625,3
2015-04-27,222.66,0.013608191862031802,2
2015-04-28,225.69,-0.002171119677433688,3
2015-04-29,225.2,0.03654529307282424,2
2015-04-30,233.43,0.002998757657541827,2
2015-05-01,234.13,-0.013496775295775837,3
2015-05-02,230.97,0.022513746373987915,2
2015-05-03,236.17,-0.006393699453783253,3
2015-05-04,234.66,0.015298730077559036,2
2015-05-05,238.25,-0.017880377754459564,3
2015-05-06,233.99,0.04585666054104872,2
2015-05-07,244.72,-0.03089244851258582,3
2015-05-08,237.16,0.009234272221285198,2
2015-05-09,239.35,0.020221433047837908,2
2015-05-10,244.19,-0.020803472705679938,3
2015-05-11,239.11,0.015097653799506441,2
2015-05-12,242.72,-0.018127883981542543,3
2015-05-13,238.32,-0.009860691507217164,3
2015-05-14,235.97,0.0027969657159808304,2
2015-05-15,236.63,-0.003592105819211403,3
2015-05-16,235.78,0.0036050555602680223,2
2015-05-17,236.63,-0.019397371423741722,3
2015-05-18,232.04,0.011032580589553535,2
2015-05-19,234.6,-0.013640238704177274,3
2015-05-20,231.4,0.039325842696629185,2
2015-05-21,240.5,-0.007193347193347151,3
2015-05-22,238.77,0.0001256439251162254,2
2015-05-23,238.8,-0.01319095477386937,3
2015-05-24,235.65,0.001230638659028186,2
2015-05-25,235.94,-0.0014834279901669676,3
2015-05-26,235.59,0.0037777494800288057,2
2015-05-27,236.48,-0.002579499323409951,3
2015-05-28,235.87,0.0024165854072158103,2
2015-05-29,236.44,-0.018990018609372394,3
2015-05-30,231.95,-0.041172666522957466,3
2015-05-31,222.4,0.02670863309352517,2
2015-06-01,228.34,-0.008977840063063902,3
2015-06-02,226.29,-0.0033143311679703037,3
2015-06-03,225.54,-0.0006207324643078228,3
2015-06-04,225.4,-0.004037267080745326,3
2015-06-05,224.49,-0.008419083255378924,3
2015-06-06,222.6,0.010736747529200426,2
2015-06-07,224.99,0.022712120538690542,2
2015-06-08,230.1,-0.00908300738809215,3
2015-06-09,228.01,0.003815622121836782,2
2015-06-10,228.88,0.004806011883956633,2
2015-06-11,229.98,0.0010435690060005614,2
2015-06-12,230.22,-0.0026930761879941124,3
2015-06-13,229.6,0.029878048780487866,2
2015-06-14,236.46,0.037596210775606806,2
2015-06-15,245.35,-0.03810882412879558,3
2015-06-16,236.0,0.05190677966101695,2
2015-06-17,248.25,-0.007250755287009109,3
2015-06-18,246.45,0.007344288902414293,2
2015-06-19,248.26,-0.023322323370659762,3
2015-06-20,242.47,0.01600197962634551,2
2015-06-21,246.35,-0.011365942764359581,3
2015-06-22,243.55,-0.011948265243276636,3
2015-06-23,240.64,0.005319148936170218,2
2015-06-24,241.92,-0.007109788359788355,3
2015-06-25,240.2,0.034554537885095805,2
2015-06-26,248.5,0.0010462776659959394,2
2015-06-27,248.76,0.009848850297475547,2
2015-06-28,251.21,0.04506190040205392,2
2015-06-29,262.53,-0.017826534110387194,3
2015-06-30,257.85,0.01776226488268367,2
2015-07-01,262.43,-0.027931257859238702,3
2015-07-02,255.1,0.011054488435907572,2
2015-07-03,257.92,-0.006978908188585651,3
2015-07-04,256.12,0.06735124160549742,2
2015-07-05,273.37,-0.022350660277279926,3
2015-07-06,267.26,0.004751926962508351,2
2015-07-07,268.53,0.00800655420251009,2
2015-07-08,270.68,0.06021870843800802,2
2015-07-09,286.98,-0.06265244964805916,3
2015-07-10,269.0,0.1498141263940521,1
2015-07-11,309.3,-0.06272227610733926,3
2015-07-12,289.9,0.07123145912383592,2
2015-07-13,310.55,-0.0631138303010788,3
2015-07-14,290.95,-0.05220828321017356,3
2015-07-15,275.76,0.035900783289817356,2
2015-07-16,285.66,-0.026535041657915145,3
2015-07-17,278.08,-0.007156214039125464,3
2015-07-18,276.09,0.00235430475569573,2
2015-07-19,276.74,0.008058105080581116,2
2015-07-20,278.97,-0.00512599921138476,3
2015-07-21,277.54,-0.002810405707285543,3
2015-07-22,276.76,0.038083538083538156,2
2015-07-23,287.3,-0.0006265227984685235,3
2015-07-24,287.12,0.0065477848983003465,2
2015-07-25,289.0,0.006193771626297649,2
2015-07-26,290.79,0.01530313972282399,2
2015-07-27,295.24,-0.0044370681479474405,3
2015-07-28,293.93,-0.02167182662538701,3
