Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Class
2021-04-16,71562677.0,480649145.05439997,23581981443664.0,72418.0,1.3172985533980583,48356808.52401327,120743465.5644424,220.09980939815966,0.6106632810948481,128315.86576435,1838170.578444089,2133.0485436893205,733666.0,219704.0,140.32071554000004,18684418.75,10.933333333333334,3
2012-04-03,3815.0,305609.316704,1626553.48133,83.0,0.0225462744422,35053.41,11.4007541095,4.68691135178,4.46272523797473,162582.05540081,751035.767964,40.0,13314.0,7479.0,3.95271361,8715300.0,10.0333333333,3
2016-12-24,10837759.0,36632649.45,310153855703.0,85610.0,0.854889503649635,1621324.26453935,2112242.95,6.73251500929887,0.8,223986.76,1526634.41,1757.8102189781,420206.0,240820.0,83.58322018,16060375.0,12.77,2
2014-01-12,1044258.0,13419687.1286,1789546951.05,17004.0,0.126423487922705,5090195.2246953,18058.6488747,95.7865908563125,5.60461803206,90764.0,506489.697443,244.140096618357,110334.0,50537.0,11.79779395,12258325.0,6.78333333333,2
2020-12-16,61909985.0,288887515.235,18670168558400.0,133763.0,1.3095326993006986,19816346.525156554,132718173.16882376,62.12741454387046,0.4686156088575011,209514.45641449,2709597.598903124,2204.3146853146854,751162.0,315217.0,79.9044725,18572856.25,14.383333333333333,2
2020-11-27,59998550.0,867494794.0976,17596801059571.0,111482.0,1.2851594480519473,17988301.561259545,134710225.69469494,55.47527450752039,0.5081648605919892,209319.16610076,1857757.4365958406,2093.7987012987014,719237.0,322445.0,84.21494944000001,18555943.75,13.758333333333333,3
2016-05-15,7237633.0,9548354.6085,194254820283.0,59322.0,0.777696956835,1609202.06235,1342247.86954,8.03913684977,1.64543779251844,217081.3490698,2042797.05916,1440.07913669,350006.0,200171.0,45.61359577,15548450.0,9.81666666667,3
2020-11-06,56087261.0,575483038.2308999,16787779609933.0,116624.0,1.2726377647058829,18889243.164551694,127682332.78656289,55.065060896269166,0.535421977925165,226071.88272974023,3089433.8560195593,2224.516339869281,756129.0,340351.0,239.93433418,18535743.75,14.808333333333334,2
2018-02-11,22991753.0,796391653.709,2874674234420.0,27976.0,1.00691915231788,16243960.9275333,21578025.5248,109.545543564982,2.27231640442,85791.9513183,1398605.05385,974.887417218543,368624.0,147208.0,61.96458348,16857800.0,9.45,3
2012-12-13,60270.0,481296.666,3370181.79927784,8146.0,0.169958353043,36587.93208,22.7844398482441,0.883830521052,1.10021089981,239227.0,3839017.0493206,342.0,34817.0,41397.0,32.88696018,10552175.0,11.4166666666667,3
