,matching_date
434,2010-03-13
435,2010-03-14
436,2010-03-15
437,2010-03-16
438,2010-03-17
439,2010-03-18
440,2010-03-19
441,2010-03-20
442,2010-03-21
443,2010-03-22
444,2010-03-23
445,2010-03-24
446,2010-03-25
447,2010-03-26
448,2010-03-27
449,2010-03-28
450,2010-03-29
451,2010-03-30
452,2010-03-31
453,2010-04-01
454,2010-04-02
455,2010-04-03
456,2010-04-04
457,2010-04-05
458,2010-04-06
459,2010-04-07
460,2010-04-08
461,2010-04-09
462,2010-04-10
463,2010-04-11
464,2010-04-12
465,2010-04-13
466,2010-04-14
467,2010-04-15
468,2010-04-16
469,2010-04-17
470,2010-04-18
471,2010-04-19
472,2010-04-20
473,2010-04-21
474,2010-04-22
475,2010-04-23
476,2010-04-24
477,2010-04-25
478,2010-04-26
479,2010-04-27
480,2010-04-28
481,2010-04-29
482,2010-04-30
483,2010-05-01
484,2010-05-02
485,2010-05-03
486,2010-05-04
487,2010-05-05
488,2010-05-06
489,2010-05-07
490,2010-05-08
491,2010-05-09
492,2010-05-10
493,2010-05-11
494,2010-05-12
495,2010-05-13
496,2010-05-14
497,2010-05-15
498,2010-05-16
499,2010-05-17
500,2010-05-18
501,2010-05-19
502,2010-05-20
503,2010-05-21
504,2010-05-22
505,2010-05-23
506,2010-05-24
507,2010-05-25
508,2010-05-26
509,2010-05-27
510,2010-05-28
511,2010-05-29
512,2010-05-30
513,2010-05-31
514,2010-06-01
515,2010-06-02
516,2010-06-03
517,2010-06-04
518,2010-06-05
519,2010-06-06
520,2010-06-07
521,2010-06-08
522,2010-06-09
523,2010-06-10
524,2010-06-11
525,2010-06-12
526,2010-06-13
527,2010-06-14
528,2010-06-15
529,2010-06-16
530,2010-06-17
531,2010-06-18
532,2010-06-19
533,2010-06-20
534,2010-06-21
535,2010-06-22
536,2010-06-23
537,2010-06-24
538,2010-06-25
539,2010-06-26
540,2010-06-27
541,2010-06-28
542,2010-06-29
543,2010-06-30
544,2010-07-01
545,2010-07-02
546,2010-07-03
547,2010-07-04
548,2010-07-05
549,2010-07-06
550,2010-07-07
551,2010-07-08
552,2010-07-09
553,2010-07-10
554,2010-07-11
555,2010-07-12
556,2010-07-13
557,2010-07-14
558,2010-07-15
559,2010-07-16
560,2010-07-17
561,2010-07-18
562,2010-07-19
563,2010-07-20
564,2010-07-21
565,2010-07-22
566,2010-07-23
567,2010-07-24
568,2010-07-25
569,2010-07-26
570,2010-07-27
571,2010-07-28
572,2010-07-29
573,2010-07-30
574,2010-07-31
575,2010-08-01
576,2010-08-02
577,2010-08-03
578,2010-08-04
579,2010-08-05
580,2010-08-06
581,2010-08-07
582,2010-08-08
583,2010-08-09
584,2010-08-10
585,2010-08-11
586,2010-08-12
587,2010-08-13
588,2010-08-14
589,2010-08-15
590,2010-08-16
591,2010-08-17
592,2010-08-18
593,2010-08-19
594,2010-08-20
595,2010-08-21
596,2010-08-22
597,2010-08-23
598,2010-08-24
599,2010-08-25
600,2010-08-26
601,2010-08-27
602,2010-08-28
603,2010-08-29
604,2010-08-30
605,2010-08-31
606,2010-09-01
607,2010-09-02
608,2010-09-03
609,2010-09-04
610,2010-09-05
611,2010-09-06
612,2010-09-07
613,2010-09-08
614,2010-09-09
615,2010-09-10
616,2010-09-11
617,2010-09-12
618,2010-09-13
619,2010-09-14
620,2010-09-15
621,2010-09-16
622,2010-09-17
623,2010-09-18
624,2010-09-19
625,2010-09-20
626,2010-09-21
627,2010-09-22
628,2010-09-23
629,2010-09-24
630,2010-09-25
631,2010-09-26
632,2010-09-27
633,2010-09-28
634,2010-09-29
635,2010-09-30
636,2010-10-01
637,2010-10-02
638,2010-10-03
639,2010-10-04
640,2010-10-05
641,2010-10-06
642,2010-10-07
643,2010-10-08
644,2010-10-09
645,2010-10-10
646,2010-10-11
647,2010-10-12
648,2010-10-13
649,2010-10-14
650,2010-10-15
651,2010-10-16
652,2010-10-17
653,2010-10-18
654,2010-10-19
655,2010-10-20
656,2010-10-21
657,2010-10-22
658,2010-10-23
659,2010-10-24
660,2010-10-25
661,2010-10-26
662,2010-10-27
663,2010-10-28
664,2010-10-29
665,2010-10-30
666,2010-10-31
667,2010-11-01
668,2010-11-02
669,2010-11-03
670,2010-11-04
671,2010-11-05
672,2010-11-06
673,2010-11-07
674,2010-11-08
675,2010-11-09
676,2010-11-10
677,2010-11-11
678,2010-11-12
679,2010-11-13
680,2010-11-14
681,2010-11-15
682,2010-11-16
683,2010-11-17
684,2010-11-18
685,2010-11-19
686,2010-11-20
687,2010-11-21
688,2010-11-22
689,2010-11-23
690,2010-11-24
691,2010-11-25
692,2010-11-26
693,2010-11-27
694,2010-11-28
695,2010-11-29
696,2010-11-30
697,2010-12-01
698,2010-12-02
699,2010-12-03
700,2010-12-04
701,2010-12-05
702,2010-12-06
703,2010-12-07
704,2010-12-08
705,2010-12-09
706,2010-12-10
707,2010-12-11
708,2010-12-12
709,2010-12-13
710,2010-12-14
711,2010-12-15
712,2010-12-16
713,2010-12-17
714,2010-12-18
715,2010-12-19
716,2010-12-20
717,2010-12-21
718,2010-12-22
719,2010-12-23
720,2010-12-24
721,2010-12-25
722,2010-12-26
723,2010-12-27
724,2010-12-28
725,2010-12-29
726,2010-12-30
727,2010-12-31
728,2011-01-01
729,2011-01-02
730,2011-01-03
731,2011-01-04
732,2011-01-05
733,2011-01-06
734,2011-01-07
735,2011-01-08
736,2011-01-09
737,2011-01-10
738,2011-01-11
739,2011-01-12
740,2011-01-13
741,2011-01-14
742,2011-01-15
743,2011-01-16
744,2011-01-17
745,2011-01-18
746,2011-01-19
747,2011-01-20
748,2011-01-21
749,2011-01-22
750,2011-01-23
751,2011-01-24
752,2011-01-25
753,2011-01-26
754,2011-01-27
755,2011-01-28
756,2011-01-29
757,2011-01-30
758,2011-01-31
759,2011-02-01
760,2011-02-02
761,2011-02-03
762,2011-02-04
763,2011-02-05
764,2011-02-06
765,2011-02-07
766,2011-02-08
767,2011-02-09
768,2011-02-10
769,2011-02-11
770,2011-02-12
771,2011-02-13
772,2011-02-14
773,2011-02-15
774,2011-02-16
775,2011-02-17
776,2011-02-18
777,2011-02-19
778,2011-02-20
779,2011-02-21
780,2011-02-22
781,2011-02-23
782,2011-02-24
783,2011-02-25
784,2011-02-26
785,2011-02-27
786,2011-02-28
787,2011-03-01
788,2011-03-02
789,2011-03-03
790,2011-03-04
791,2011-03-05
792,2011-03-06
793,2011-03-07
794,2011-03-08
795,2011-03-09
796,2011-03-10
797,2011-03-11
798,2011-03-12
799,2011-03-13
800,2011-03-14
801,2011-03-15
802,2011-03-16
803,2011-03-17
804,2011-03-18
805,2011-03-19
806,2011-03-20
807,2011-03-21
808,2011-03-22
809,2011-03-23
810,2011-03-24
811,2011-03-25
812,2011-03-26
813,2011-03-27
814,2011-03-28
815,2011-03-29
816,2011-03-30
817,2011-03-31
818,2011-04-01
819,2011-04-02
820,2011-04-03
821,2011-04-04
822,2011-04-05
823,2011-04-06
824,2011-04-07
825,2011-04-08
826,2011-04-09
827,2011-04-10
828,2011-04-11
829,2011-04-12
830,2011-04-13
831,2011-04-14
832,2011-04-15
833,2011-04-16
834,2011-04-17
835,2011-04-18
836,2011-04-19
837,2011-04-20
838,2011-04-21
839,2011-04-22
840,2011-04-23
841,2011-04-24
842,2011-04-25
843,2011-04-26
844,2011-04-27
845,2011-04-28
846,2011-04-29
847,2011-04-30
848,2011-05-01
849,2011-05-02
850,2011-05-03
851,2011-05-04
852,2011-05-05
853,2011-05-06
854,2011-05-07
855,2011-05-08
856,2011-05-09
857,2011-05-10
858,2011-05-11
859,2011-05-12
860,2011-05-13
861,2011-05-14
862,2011-05-15
863,2011-05-16
864,2011-05-17
865,2011-05-18
866,2011-05-19
867,2011-05-20
868,2011-05-21
869,2011-05-22
870,2011-05-23
871,2011-05-24
872,2011-05-25
873,2011-05-26
874,2011-05-27
875,2011-05-28
876,2011-05-29
877,2011-05-30
878,2011-05-31
879,2011-06-01
880,2011-06-02
881,2011-06-03
882,2011-06-04
883,2011-06-05
884,2011-06-06
885,2011-06-07
886,2011-06-08
887,2011-06-09
888,2011-06-10
889,2011-06-11
890,2011-06-12
891,2011-06-13
892,2011-06-14
893,2011-06-15
894,2011-06-16
895,2011-06-17
896,2011-06-18
897,2011-06-19
898,2011-06-20
899,2011-06-21
900,2011-06-22
901,2011-06-23
902,2011-06-24
903,2011-06-25
904,2011-06-26
905,2011-06-27
906,2011-06-28
907,2011-06-29
908,2011-06-30
909,2011-07-01
910,2011-07-02
911,2011-07-03
912,2011-07-04
913,2011-07-05
914,2011-07-06
915,2011-07-07
916,2011-07-08
917,2011-07-09
918,2011-07-10
919,2011-07-11
920,2011-07-12
921,2011-07-13
922,2011-07-14
923,2011-07-15
924,2011-07-16
925,2011-07-17
926,2011-07-18
927,2011-07-19
928,2011-07-20
929,2011-07-21
930,2011-07-22
931,2011-07-23
932,2011-07-24
933,2011-07-25
934,2011-07-26
935,2011-07-27
936,2011-07-28
937,2011-07-29
938,2011-07-30
939,2011-07-31
940,2011-08-01
941,2011-08-02
942,2011-08-03
943,2011-08-04
944,2011-08-05
945,2011-08-06
946,2011-08-07
947,2011-08-08
948,2011-08-09
949,2011-08-10
950,2011-08-11
951,2011-08-12
952,2011-08-13
953,2011-08-14
954,2011-08-15
955,2011-08-16
956,2011-08-17
957,2011-08-18
958,2011-08-19
959,2011-08-20
960,2011-08-21
961,2011-08-22
962,2011-08-23
963,2011-08-24
964,2011-08-25
965,2011-08-26
966,2011-08-27
967,2011-08-28
968,2011-08-29
969,2011-08-30
970,2011-08-31
971,2011-09-01
972,2011-09-02
973,2011-09-03
974,2011-09-04
975,2011-09-05
976,2011-09-06
977,2011-09-07
978,2011-09-08
979,2011-09-09
980,2011-09-10
981,2011-09-11
982,2011-09-12
983,2011-09-13
984,2011-09-14
985,2011-09-15
986,2011-09-16
987,2011-09-17
988,2011-09-18
989,2011-09-19
990,2011-09-20
991,2011-09-21
992,2011-09-22
993,2011-09-23
994,2011-09-24
995,2011-09-25
996,2011-09-26
997,2011-09-27
998,2011-09-28
999,2011-09-29
1000,2011-09-30
1001,2011-10-01
1002,2011-10-02
1003,2011-10-03
1004,2011-10-04
1005,2011-10-05
1006,2011-10-06
1007,2011-10-07
1008,2011-10-08
1009,2011-10-09
1010,2011-10-10
1011,2011-10-11
1012,2011-10-12
1013,2011-10-13
1014,2011-10-14
1015,2011-10-15
1016,2011-10-16
1017,2011-10-17
1018,2011-10-18
1019,2011-10-19
1020,2011-10-20
1021,2011-10-21
1022,2011-10-22
1023,2011-10-23
1024,2011-10-24
1025,2011-10-25
1026,2011-10-26
1027,2011-10-27
1028,2011-10-28
1029,2011-10-29
1030,2011-10-30
1031,2011-10-31
1032,2011-11-01
1033,2011-11-02
1034,2011-11-03
1035,2011-11-04
1036,2011-11-05
1037,2011-11-06
1038,2011-11-07
1039,2011-11-08
1040,2011-11-09
1041,2011-11-10
1042,2011-11-11
1043,2011-11-12
1044,2011-11-13
1045,2011-11-14
1046,2011-11-15
1047,2011-11-16
1048,2011-11-17
1049,2011-11-18
1050,2011-11-19
1051,2011-11-20
1052,2011-11-21
1053,2011-11-22
1054,2011-11-23
1055,2011-11-24
1056,2011-11-25
1057,2011-11-26
1058,2011-11-27
1059,2011-11-28
1060,2011-11-29
1061,2011-11-30
1062,2011-12-01
1063,2011-12-02
1064,2011-12-03
1065,2011-12-04
1066,2011-12-05
1067,2011-12-06
1068,2011-12-07
1069,2011-12-08
1070,2011-12-09
1071,2011-12-10
1072,2011-12-11
1073,2011-12-12
1074,2011-12-13
1075,2011-12-14
1076,2011-12-15
1077,2011-12-16
1078,2011-12-17
1079,2011-12-18
1080,2011-12-19
1081,2011-12-20
1082,2011-12-21
1083,2011-12-22
1084,2011-12-23
1085,2011-12-24
1086,2011-12-25
1087,2011-12-26
1088,2011-12-27
1089,2011-12-28
1090,2011-12-29
1091,2011-12-30
1092,2011-12-31
1093,2012-01-01
1094,2012-01-02
1095,2012-01-03
1096,2012-01-04
1097,2012-01-05
1098,2012-01-06
1099,2012-01-07
1100,2012-01-08
1101,2012-01-09
1102,2012-01-10
1103,2012-01-11
1104,2012-01-12
1105,2012-01-13
1106,2012-01-14
1107,2012-01-15
1108,2012-01-16
1109,2012-01-17
1110,2012-01-18
1111,2012-01-19
1112,2012-01-20
1113,2012-01-21
1114,2012-01-22
1115,2012-01-23
1116,2012-01-24
1117,2012-01-25
1118,2012-01-26
1119,2012-01-27
1120,2012-01-28
1121,2012-01-29
1122,2012-01-30
1123,2012-01-31
1124,2012-02-01
1125,2012-02-02
1126,2012-02-03
1127,2012-02-04
1128,2012-02-05
1129,2012-02-06
1130,2012-02-07
1131,2012-02-08
1132,2012-02-09
1133,2012-02-10
1134,2012-02-11
1135,2012-02-12
1136,2012-02-13
1137,2012-02-14
1138,2012-02-15
1139,2012-02-16
1140,2012-02-17
1141,2012-02-18
1142,2012-02-19
1143,2012-02-20
1144,2012-02-21
1145,2012-02-22
1146,2012-02-23
1147,2012-02-24
1148,2012-02-25
1149,2012-02-26
1150,2012-02-27
1151,2012-02-28
1152,2012-02-29
1153,2012-03-01
1154,2012-03-02
1155,2012-03-03
1156,2012-03-04
1157,2012-03-05
1158,2012-03-06
1159,2012-03-07
1160,2012-03-08
1161,2012-03-09
1162,2012-03-10
1163,2012-03-11
1164,2012-03-12
1165,2012-03-13
1166,2012-03-14
1167,2012-03-15
1168,2012-03-16
1169,2012-03-17
1170,2012-03-18
1171,2012-03-19
1172,2012-03-20
1173,2012-03-21
1174,2012-03-22
1175,2012-03-23
1176,2012-03-24
1177,2012-03-25
1178,2012-03-26
1179,2012-03-27
1180,2012-03-28
1181,2012-03-29
1182,2012-03-30
1183,2012-03-31
1184,2012-04-01
1185,2012-04-02
1186,2012-04-03
1187,2012-04-04
1188,2012-04-05
1189,2012-04-06
1190,2012-04-07
1191,2012-04-08
1192,2012-04-09
1193,2012-04-10
1194,2012-04-11
1195,2012-04-12
1196,2012-04-13
1197,2012-04-14
1198,2012-04-15
1199,2012-04-16
1200,2012-04-17
1201,2012-04-18
1202,2012-04-19
1203,2012-04-20
1204,2012-04-21
1205,2012-04-22
1206,2012-04-23
1207,2012-04-24
1208,2012-04-25
1209,2012-04-26
1210,2012-04-27
1211,2012-04-28
1212,2012-04-29
1213,2012-04-30
1214,2012-05-01
1215,2012-05-02
1216,2012-05-03
1217,2012-05-04
1218,2012-05-05
1219,2012-05-06
1220,2012-05-07
1221,2012-05-08
1222,2012-05-09
1223,2012-05-10
1224,2012-05-11
1225,2012-05-12
1226,2012-05-13
1227,2012-05-14
1228,2012-05-15
1229,2012-05-16
1230,2012-05-17
1231,2012-05-18
1232,2012-05-19
1233,2012-05-20
1234,2012-05-21
1235,2012-05-22
1236,2012-05-23
1237,2012-05-24
1238,2012-05-25
1239,2012-05-26
1240,2012-05-27
1241,2012-05-28
1242,2012-05-29
1243,2012-05-30
1244,2012-05-31
1245,2012-06-01
1246,2012-06-02
1247,2012-06-03
1248,2012-06-04
1249,2012-06-05
1250,2012-06-06
1251,2012-06-07
1252,2012-06-08
1253,2012-06-09
1254,2012-06-10
1255,2012-06-11
1256,2012-06-12
1257,2012-06-13
1258,2012-06-14
1259,2012-06-15
1260,2012-06-16
1261,2012-06-17
1262,2012-06-18
1263,2012-06-19
1264,2012-06-20
1265,2012-06-21
1266,2012-06-22
1267,2012-06-23
1268,2012-06-24
1269,2012-06-25
1270,2012-06-26
1271,2012-06-27
1272,2012-06-28
1273,2012-06-29
1274,2012-06-30
1275,2012-07-01
1276,2012-07-02
1277,2012-07-03
1278,2012-07-04
1279,2012-07-05
1280,2012-07-06
1281,2012-07-07
1282,2012-07-08
1283,2012-07-09
1284,2012-07-10
1285,2012-07-11
1286,2012-07-12
1287,2012-07-13
1288,2012-07-14
1289,2012-07-15
1290,2012-07-16
1291,2012-07-17
1292,2012-07-18
1293,2012-07-19
1294,2012-07-20
1295,2012-07-21
1296,2012-07-22
1297,2012-07-23
1298,2012-07-24
1299,2012-07-25
1300,2012-07-26
1301,2012-07-27
1302,2012-07-28
1303,2012-07-29
1304,2012-07-30
1305,2012-07-31
1306,2012-08-01
1307,2012-08-02
1308,2012-08-03
1309,2012-08-04
1310,2012-08-05
1311,2012-08-06
1312,2012-08-07
1313,2012-08-08
1314,2012-08-09
1315,2012-08-10
1316,2012-08-11
1317,2012-08-12
1318,2012-08-13
1319,2012-08-14
1320,2012-08-15
1321,2012-08-16
1322,2012-08-17
1323,2012-08-18
1324,2012-08-19
1325,2012-08-20
1326,2012-08-21
1327,2012-08-22
1328,2012-08-23
1329,2012-08-24
1330,2012-08-25
1331,2012-08-26
1332,2012-08-27
1333,2012-08-28
1334,2012-08-29
1335,2012-08-30
1336,2012-08-31
1337,2012-09-01
1338,2012-09-02
1339,2012-09-03
1340,2012-09-04
1341,2012-09-05
1342,2012-09-06
1343,2012-09-07
1344,2012-09-08
1345,2012-09-09
1346,2012-09-10
1347,2012-09-11
1348,2012-09-12
1349,2012-09-13
1350,2012-09-14
1351,2012-09-15
1352,2012-09-16
1353,2012-09-17
1354,2012-09-18
1355,2012-09-19
1356,2012-09-20
1357,2012-09-21
1358,2012-09-22
1359,2012-09-23
1360,2012-09-24
1361,2012-09-25
1362,2012-09-26
1363,2012-09-27
1364,2012-09-28
1365,2012-09-29
1366,2012-09-30
1367,2012-10-01
1368,2012-10-02
1369,2012-10-03
1370,2012-10-04
1371,2012-10-05
1372,2012-10-06
1373,2012-10-07
1374,2012-10-08
1375,2012-10-09
1376,2012-10-10
1377,2012-10-11
1378,2012-10-12
1379,2012-10-13
1380,2012-10-14
1381,2012-10-15
1382,2012-10-16
1383,2012-10-17
1384,2012-10-18
1385,2012-10-19
1386,2012-10-20
1387,2012-10-21
1388,2012-10-22
1389,2012-10-23
1390,2012-10-24
1391,2012-10-25
1392,2012-10-26
1393,2012-10-27
1394,2012-10-28
1395,2012-10-29
1396,2012-10-30
1397,2012-10-31
1398,2012-11-01
1399,2012-11-02
1400,2012-11-03
1401,2012-11-04
1402,2012-11-05
1403,2012-11-06
1404,2012-11-07
1405,2012-11-08
1406,2012-11-09
1407,2012-11-10
1408,2012-11-11
1409,2012-11-12
1410,2012-11-13
1411,2012-11-14
1412,2012-11-15
1413,2012-11-16
1414,2012-11-17
1415,2012-11-18
1416,2012-11-19
1417,2012-11-20
1418,2012-11-21
1419,2012-11-22
1420,2012-11-23
1421,2012-11-24
1422,2012-11-25
1423,2012-11-26
1424,2012-11-27
1425,2012-11-28
1426,2012-11-29
1427,2012-11-30
1428,2012-12-01
1429,2012-12-02
1430,2012-12-03
1431,2012-12-04
1432,2012-12-05
1433,2012-12-06
1434,2012-12-07
1435,2012-12-08
1436,2012-12-09
1437,2012-12-10
1438,2012-12-11
1439,2012-12-12
1440,2012-12-13
1441,2012-12-14
1442,2012-12-15
1443,2012-12-16
1444,2012-12-17
1445,2012-12-18
1446,2012-12-19
1447,2012-12-20
1448,2012-12-21
1449,2012-12-22
1450,2012-12-23
1451,2012-12-24
1452,2012-12-25
1453,2012-12-26
1454,2012-12-27
1455,2012-12-28
1456,2012-12-29
1457,2012-12-30
1458,2012-12-31
1459,2013-01-01
1460,2013-01-02
1461,2013-01-03
1462,2013-01-04
1463,2013-01-05
1464,2013-01-06
1465,2013-01-07
1466,2013-01-08
1467,2013-01-09
1468,2013-01-10
1469,2013-01-11
1470,2013-01-12
1471,2013-01-13
1472,2013-01-14
1473,2013-01-15
1474,2013-01-16
1475,2013-01-17
1476,2013-01-18
1477,2013-01-19
1478,2013-01-20
1479,2013-01-21
1480,2013-01-22
1481,2013-01-23
1482,2013-01-24
1483,2013-01-25
1484,2013-01-26
1485,2013-01-27
1486,2013-01-28
1487,2013-01-29
1488,2013-01-30
1489,2013-01-31
1490,2013-02-01
1491,2013-02-02
1492,2013-02-03
1493,2013-02-04
1494,2013-02-05
1495,2013-02-06
1496,2013-02-07
1497,2013-02-08
