Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,wallet_transaction_volume,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time
2018-07-11,26155626.0,361861965.471,5363678461480.0,47869.0,32361.2146986,1.00659225925926,11007393.2006476,35995036.8411,53.6080436010521,1.5547140161,109855.734423,844523.664767,1500.76296296296,413228.0,202603.0,20.44250057,17144187.5,14.275
2018-07-12,26171813.0,275030732.0278,5363678461481.0,47260.0,35454.78234962,1.17915948227,11268737.625,37594816.2562869,55.9504317092,1.66384851334,107049.001041,821091.024838082,1443.5106383,405287.0,203535.0,18.63321237,17145337.5,8.23333333333333
2018-07-13,26205331.0,304859782.217,5363678461480.0,48596.0,37304.7721134,1.11353270629,11015182.75,38128076.0613,53.5610903785,1.71672787461285,108183.08988126,886209.138239,1453.87412587,473175.0,207904.0,19.53514153,17147737.5,8.23333333333
2018-07-14,26233588.0,243555155.304,5363678461480.0,40171.0,22048.5119232,1.15948982706767,10454811.3292918,35461777.0361,59.2424498047415,3.07318363687,54585.4995824,740316.114664,1326.87969924812,362895.0,176475.0,15.01264127,17149400.0,13.275
2018-07-15,26258594.0,164361051.426,5363678461481.0,34938.0,17886.03245712,0.773946090226,10424456.875,35461777.0360721,65.2819817451,2.9916308688,56082.3941904,747510.628638848,1211.66165414,346482.0,161151.0,15.27821656,17150875.0,13.45
2018-07-16,26305810.0,301675832.614,5363678461480.0,52190.0,39143.3653148,0.928807491667,9550007.43,31995588.3032,46.6406240644,1.32470109582741,114418.44005346,1215433.67671,1732.01666667,431583.0,207842.0,23.61292569,17152562.5,13.45
2018-07-17,26317963.0,499528836.874,5199615302170.0,56961.0,35597.7827056,0.909335534591195,14162648.5568392,40931868.4915,58.6894662861372,1.69061463357,119036.121934,1062550.40968,1471.48427672956,487159.0,233966.0,24.94209666,17154550.0,14.25
2018-07-18,26357257.0,761941225.026,5178671069072.0,56791.0,40277.63709549,1.04647424713,16010523.0,44793365.5190113,68.0356508538,1.53043245544,144196.281052,1137516.75989191,1372.23563218,494822.0,238769.0,31.82668475,17156437.5,11.025
2018-07-19,26381940.0,559342105.92,5178671069070.0,59349.0,48774.5992827,0.73462880117,15668190.72,44021066.1135,70.5303277555,1.61100350097976,134422.75978267,965781.997601,1316.01754386,465957.0,225039.0,28.82741906,17158862.5,11.025
2018-07-20,26420736.0,490150501.943,5178671069070.0,56511.0,40278.0538826,0.815292727272728,14466795.3986963,39644702.8157,64.1460539385014,1.77890160646,109510.711042,914113.884578,1464.47402597403,496859.0,225529.0,23.08779797,17160787.5,7.0
2018-07-21,26489365.0,523947504.4375,5178671069072.0,44987.0,19970.31010191,0.715741226277,12556546.625,35268339.5178422,68.6350793061,2.4130891817,71687.2879837,642013.565772866,1348.9270073,385949.0,184803.0,17.37819099,17161950.0,8.93333333333333
2018-07-22,26525530.0,233536540.36,5178671069070.0,38713.0,18241.0709664,0.451292708791,16874334.75,46852830.6003,101.621533801,4.40141688830001,53147.20542212,583088.168756,918.291208791,366446.0,167129.0,14.77231882,17164775.0,8.93333333333
2018-07-23,26565485.0,547531100.766,5178671069070.0,58124.0,35601.5726887,0.890057921686746,16326406.797981,42733900.4377,70.4964195567248,1.73101473331,121380.86876,971437.906534,1382.40963855422,473605.0,229480.0,26.12072165,17166850.0,5.7
2018-07-24,26621015.0,705993833.706,5178671069072.0,63979.0,49208.10295649,0.917435553459,15319928.25,40931868.4915103,59.9496458981,1.41010783102,143048.84392,1184540.43458122,1631.18238994,532883.0,259358.0,29.64295029,17167487.5,12.125
2018-07-25,26671820.0,864732263.062,5178671069070.0,61960.0,53212.3478524,0.965074491525,18661751.625,45565664.9245,75.4892138216,1.83503180923608,122048.88419943,996984.01707,1413.60451977,525952.0,250208.0,26.82417337,17171050.0,12.125
2018-07-26,26733709.0,506038858.738,5178671069070.0,59152.0,33515.5371947,0.771370909090909,17302326.280585,42476467.3025,74.4237292914137,2.0609798309,101232.442731,880778.203552,1404.11515151515,479849.0,231679.0,23.88022702,17173000.0,10.35
