Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,Class
2017-01-12,11265681.0,28015965.7428,336899932795.0,90749.0,0.8,1750688.22,2897297.86405773,6.12,0.57,394742.84,3521724.1432035,1721.13,483077.0,297756.0,106.35,16098637.5,8.5,126915568393761.0,784894336501743.2,1.1350156471727552e+23,8235381001.0,0.6400000000000001,3064909243646.768,8394334913073.484,37.4544,0.32489999999999997,155821909731.26562,12402540940822.428,2962288.4769000006,233363387929.0,88658635536.0,11310.322499999998,259166129356406.25,72.25,1
2013-07-16,352753.0,1550144.17905,26162875.6826,6840.0,0.110965353658537,481548.697162536,219.795249155,10.0548880222696,1.16525836283,365413.0,1104177.14437,240.19512195122,54355.0,39392.0,35.8771154,11422050.0,8.41666666667,124434679009.0,2402946975842.598,684496063983182.4,46785600.0,0.012313309712564191,231889147738.9358,48309.95155110853,101.10077314038065,1.3578270521452518,133526660569.0,1219207166149.0881,57693.696609161445,2954466025.0,1551729664.0,1287.1674094249172,130463226202500.0,70.84027777783389,2
2017-12-04,19643241.0,1283672891.4,1347001430560.0,95492.0,1.06830039779006,28891001.9578248,12119724.5791,70.2545806339102,1.10834503878,224534.763324,2613354.1793,2213.73480662983,885109.0,400686.0,226.11990963,16719575.0,8.38333333333,385856916984081.0,1.6478160921152364e+18,1.8144128539306864e+24,9118722064.0,1.1412657399184005,834689994127036.4,146887723873240.66,4935.706100046589,1.2284287249882397,50415859940.9647,6829620066464.776,4900621.794084411,783417941881.0,160549270596.0,51130.21353107937,279544188180625.0,70.28027777772189,1
2019-10-02,42362119.0,170270297.36,12759819404409.0,78787.0,1.00596792568,15983802.946,93875521.3267456,48.0947311369,2.12122182136,91372.9471264,845513.50947988,2206.46621622,535484.0,326557.0,37.20021491,17968850.0,7.56666666666667,1794549126170161.0,2.8991974163062828e+16,1.6281299123313246e+26,6207391369.0,1.011971467496922,255481956616558.28,8812613504368268.0,2313.1031631306987,4.499582015413835,8349015466.56389,714893094712.9832,4868493.163320204,286743114256.0,106639474249.0,1383.8559893501863,322879570322500.0,57.254444444444495,2
2016-08-28,8478843.0,6969155.03,217375482757.0,43940.0,0.6,1091820.34,1642480.66,6.41,1.35920273124944,143429.89937029,1302221.63,1147.95,331778.0,174489.0,48.91,15841112.5,8.69,71890778618649.0,48569121832174.305,4.725210050383881e+22,1930723600.0,0.36,1192071654837.7158,2697742718474.035,41.088100000000004,1.8474320646359372,20572136033.371513,1695781173639.8567,1317789.2025000001,110076641284.0,30446411121.0,2392.1881,250940845237656.25,75.5161,2
2013-03-29,165764.0,4521524.95383,6695826.2826,10600.0,0.164656317378,381744.95805,55.2533207636,6.38508301219,1.51117760090218,311853.03344071,1765378.99258,431.0,60390.0,59787.0,45.94568999,10964075.0,6.75,27477703696.0,20444187908107.383,44834089606756.93,112360000.0,0.02711170285248466,145729212996.59628,3052.9294554052713,40.769285072557324,2.2836577414684682,97252314466.17258,3116562987442.776,185761.0,3646952100.0,3574485369.0,2111.006428657186,120210940605625.0,45.5625,1
2021-03-11,69404304.0,1017432150.9559002,21448277761060.0,110459.0,1.2848289015151508,52736912.574518405,140738356.51833954,181.07405302929973,0.6747940089695121,138580.23924892006,1686284.5256209061,2206.401515151515,766597.0,291245.0,111.07819319,18651062.5,11.191666666666666,4816957413724416.0,1.0351681817987497e+18,4.60028618915581e+26,12201190681.0,1.650785306168629,2781181947892397.5,1.980728499548325e+16,32787.81268045765,0.45534695454114604,19204482710.28792,2843555501348.5244,4868207.646062901,587670960409.0,84823650025.0,12338.365002354962,347862132378906.25,125.25340277777778,1
2017-03-23,12748358.0,47857364.1617,475705205060.99994,70942.0,0.965088912162,2076531.0,3499820.23315,7.48614696398,0.690829556025212,301915.09373221,2379458.03192,1945.07432432,537475.0,287871.0,235.99807634,16232175.0,13.3,162520631696164.0,2290327304505568.0,2.26295442122128e+23,5032767364.0,0.9313966083780325,4311980993961.0,12248741664366.121,56.04239636630697,0.47724547547799157,91152723823.32915,5661820525668.6,3783314.127128904,288879375625.0,82869712641.0,55695.092036180475,263483505230625.0,176.89000000000001,2
2015-05-13,3401823.0,2207220.56359,47643398017.8,57638.0,0.355236080246914,1209740.0246009,331571.262615,9.69296367643304,1.88414239612,186504.0,1047459.52878,671.962962962963,201739.0,108858.0,15.48162095,14154775.0,7.45,11572399723329.0,4871822616334.557,2.2698933746825093e+21,3322139044.0,0.12619267270919193,1463470927121.3862,109939502192.1053,93.95354483265031,3.5499925688568146,34783742016.0,1097171464432.0198,451534.2235939645,40698624121.0,11850064164.0,239.6805872394789,200357655300625.0,55.502500000000005,2
2014-11-21,2534878.0,5841267.1374,40300030327.8914,36842.0,0.260187643993,1425167.8,248412.346336535,18.3108207421,3.40813595421,116222.0,1319260.31279388,633.0,166491.0,77832.0,11.58254175,13529075.0,8.26666666666667,6425606474884.0,34120401770469.195,1.6240924444289668e+21,1357332964.0,0.0676976100866281,2031103258156.84,61708693812.422615,335.28615624931956,11.615390682378907,13507553284.0,1740447772913.006,400689.0,27719253081.0,6057820224.0,134.15527339049308,183035870355625.0,68.33777777777782,1
