Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Class
2015-06-11,3555894.0,1164648.42708,47589591153.6,63601.0,0.455860278186,786071.64,321734.031462,6.28746652589,1.51793953674357,253210.2014607,1324268.32117,941.0,233951.0,125022.0,18.13113121,14265700.0,7.31666666667,2
2020-07-16,51353381.0,83393685.6643,17345948872516.0,124741.0,1.27677246323529,8476261.34494985,117268964.179098,24.5085610915453,0.669008509208198,138881.66240032,984626.116643764,2543.00735294118,709099.0,345849.0,78.15856789,18434768.75,12.0666666666667,3
2017-08-05,15770223.0,344352179.137,860221984436.0,56264.0,0.88123159322,7255240.30508,7568850.42141,31.219582255,0.764589406345019,311119.60604957,1958602.78141,1354.63841808,463850.0,239771.0,113.56678695,16490912.5,6.6,2
2013-10-05,460788.0,459914.165312,189281249.281,10285.0,0.0963550684931507,707536.002615697,1900.66283139,14.7461704136157,5.35902994723,94625.0,410691.014928,207.666666666667,48783.0,45479.0,26.06242489,11795325.0,6.26666666667,3
2015-07-25,3865405.0,4577494.12,52278304845.5917,45325.0,0.371112111686,1014092.77,397611.600337113,11.3116873397,2.80225004257,123793.0,775155.069554052,961.0,244803.0,89650.0,19.31582931,14422750.0,8.53333333333333,2
2015-04-18,3274244.0,1282638.2878,49446390688.2,44221.0,0.334934914813,770156.64,334287.104212,8.92283479893,2.58316505800965,159282.92142703,824017.017661,921.0,216541.0,86313.0,12.06487514,14069950.0,9.41666666667,3
2014-08-16,2037795.0,6020978.09221,19729645940.6,31998.0,0.310691873417722,2233906.7189312,161826.393202,29.5858172718883,5.04866437851,82438.0,493900.281272,430.215189873418,180542.0,67974.0,13.05170457,13153050.0,6.93333333333,2
2014-05-30,1672398.0,8690735.14155,10455720138.5,26627.0,0.220130371257485,2667113.68140693,79003.0134229,38.3139930099255,4.29311209754,88724.0,602173.780592,389.982035928144,123216.0,65127.0,11.59815107,12837800.0,7.38333333333,2
2017-11-24,19087129.0,644675714.794,1361966821650.0,62870.0,1.04861197315,16712356.6142,9977010.84138,56.5664763328,0.646050080520444,328804.47481222,2677848.85112,2051.91275168,698359.0,305735.0,233.53648718,16699450.0,15.35,2
2017-02-19,12096833.0,18054662.2988,440779902286.0,68606.0,0.930882358208955,2008419.45710556,2936112.56385,7.5772257492853,1.11179604978,162299.891205,1419255.29317,1878.51492537313,458998.0,251721.0,129.44377921,16171200.0,10.7666666667,3
2013-08-05,377726.0,1133582.42176,37392766.1365,10073.0,0.118079881819,509301.2117,351.314048013,9.74552643896,2.07950302901818,233397.67775484,749616.265632,191.0,61468.0,52260.0,40.53861293,11514525.0,6.6,3
2021-06-08,73849530.0,468061636.29730004,21047730572452.0,68549.0,1.286348818791947,31680869.696719125,155896965.91540977,128.31146143357847,0.6524886796744789,148507.31436820002,2527319.4607550697,1657.0872483221476,656191.0,246906.0,35.24722007999999,18730256.25,7.633333333333334,3
2017-09-30,17255044.0,274136475.9474,1103400932964.0,47963.0,0.786213398551,7690943.39377,7569349.3884371,37.2313846705,1.19392677621,152977.677889,1660940.9198602,1541.14492754,467807.0,212678.0,101.44145793,16596737.5,10.1166666666667,2
2019-10-14,42646165.0,65962338.316,13008091666972.0,74504.0,1.05937131852,14628224.1899,87295825.4578357,47.3402249495,0.853984140239,206989.979787,821209.414448708,2255.3037037,513254.0,304466.0,23.82030921,17990962.5,8.93333333333333,3
2014-06-01,1680069.0,13128228.4851,10455720138.5,20896.0,0.194410031068,2832232.65,93036.4434388,46.294196538,4.48783294443122,113343.06194779,711248.761169,347.0,140278.0,61179.0,10.91517676,12840025.0,6.63333333333,2
2016-07-12,7930745.0,48343367.13,213398925331.0,54288.0,0.775825874125874,1208033.63462136,1516960.89,5.51527906453499,0.64,285684.82,2314128.38,1531.70629370629,379937.0,219034.0,51.17140866,15755987.5,7.96,3
2014-03-15,1391529.0,2073449.09781,4250217919.87,67.0,0.171213180204,2514362.4,33382.1576475,42.8122322493,2.1970791932049,206476.29095393,462623.860954,408.0,121995.0,58730.0,10.38601922,12522000.0,10.7333333333,3
2018-06-11,25236934.0,378492500.753,4940704885520.0,47330.0,0.793075614285714,11987207.9874201,34384528.0828,56.2262330785761,1.27432780715,139263.304859,1688046.80947,1522.82857142857,446187.0,213196.0,24.67101897,17088125.0,9.85,2
2012-12-18,66978.0,358371.292039,3370181.79928,8703.0,0.183036864,45361.6269439953,23.9571683698,0.850551768994137,1.5280823895,236506.0,1257458.53115,398.496,36002.0,49812.0,40.01882898,10570575.0,13.6166666667,2
2015-05-16,3416442.0,735036.923305,48807487244.7,43717.0,0.389019227272727,893513.609002344,419738.369702,8.96633894956793,4.14273020909,104689.0,686643.867361,687.015151515152,216412.0,90686.0,13.11363793,14166825.0,8.45,2
2012-06-15,9464.0,649100.09516,1583177.84744,643.0,0.154256534591195,58153.4926570799,12.5920316269,0.832095533669299,2.98313778934,269180.0,4351600.72403,345.823899371069,37978.0,54986.0,33.56188777,9230700.0,20.1833333333,3
2012-10-14,32152.0,215864.95342,3054627.52694864,3081.0,0.0862382718712,94664.07,20.9547974016134,3.18841596497,4.4886173515,175310.0,1386647.67021742,200.0,30286.0,29690.0,19.19003194,10164650.0,13.1833333333333,3
2017-03-11,12528656.0,82143460.8364,460769358090.00006,71848.0,0.997576389262,2359087.2,3412840.38513,8.69179138885,0.997990475064672,208985.42190941,1651256.1743,1883.76510067,518976.0,280681.0,217.66771727,16209975.0,10.0833333333,2
2016-07-15,7963235.0,26928546.83,213398925331.0,54377.0,0.790217274074074,1173602.64682308,1432095.94,5.41324640373743,0.62,281068.3,3349411.14,1600.6,367739.0,216081.0,55.22548963,15761175.0,9.23,3
2018-11-21,30781813.0,1455657697.6194,6653303141406.0,58389.0,1.21354621905,6176914.17717,34727436.7741302,24.2287036941,0.599775919613,227159.863465,1309378.21656164,2428.01904762,472551.0,254942.0,49.95016009,17387512.5,15.4166666666667,3
2016-03-31,6648664.0,18808489.1414,165496835118.0,64849.5,0.837658632,1321282.86,1028361.53707,6.32265360616,0.971532273519957,339434.62209977,2142400.6348,1454.0,340536.0,208976.0,44.51090066,15378575.0,8.5,3
2017-11-07,18484924.0,533993339.48,1452839779140.0,87384.0,1.02638008333333,15916555.6435329,11266484.9154,47.4220752348761,0.871607661323,257469.893112,3523838.11587,2151.51282051282,714349.0,335636.0,294.12731396,16669275.0,12.0166666667,2
2021-05-04,72441537.0,571622384.9631,20608845737768.0,83962.0,1.3364648950276241,68034176.30412355,185429301.3867602,226.15940318632673,0.8837680789022855,139504.71181667998,2281525.1487654955,1662.011049723757,772207.0,300824.0,99.39665193,18699668.75,7.15,3
