Date,Bitcoin_my_wallet_num_users,Volume,Difficulty,wallet_num_transaction,Bitcoin_Avg_Block_Size,Miners_Revenue,Hash_Rate,Bitcoin_Cost_Transaction,Bitcoin_Cost_percentage_of_Transaction_Volume,Estimated_Transaction_Volume,Total_Output_Volume,num_transaction_per_Block,num_of_unique_addresses,num_of_transaction,Total_transaction_fees,Total_Bitcoins,Median_transaction_confirmation_time,Bitcoin_my_wallet_num_users_2,Volume_2,Difficulty_2,wallet_num_transaction_2,Bitcoin_Avg_Block_Size_2,Miners_Revenue_2,Hash_Rate_2,Bitcoin_Cost_Transaction_2,Bitcoin_Cost_percentage_of_Transaction_Volume_2,Estimated_Transaction_Volume_2,Total_Output_Volume_2,num_transaction_per_Block_2,num_of_unique_addresses_2,num_of_transaction_2,Total_transaction_fees_2,Total_Bitcoins_2,Median_transaction_confirmation_time_2,Bitcoin_my_wallet_num_users_3,Volume_3,Difficulty_3,wallet_num_transaction_3,Bitcoin_Avg_Block_Size_3,Miners_Revenue_3,Hash_Rate_3,Bitcoin_Cost_Transaction_3,Bitcoin_Cost_percentage_of_Transaction_Volume_3,Estimated_Transaction_Volume_3,Total_Output_Volume_3,num_transaction_per_Block_3,num_of_unique_addresses_3,num_of_transaction_3,Total_transaction_fees_3,Total_Bitcoins_3,Median_transaction_confirmation_time_3,Bitcoin_my_wallet_num_users_4,Volume_4,Difficulty_4,wallet_num_transaction_4,Bitcoin_Avg_Block_Size_4,Miners_Revenue_4,Bitcoin_Cost_Transaction_4,Bitcoin_Cost_percentage_of_Transaction_Volume_4,Estimated_Transaction_Volume_4,num_transaction_per_Block_4,num_of_unique_addresses_4,num_of_transaction_4,Total_transaction_fees_4,Total_Bitcoins_4,Median_transaction_confirmation_time_4,Hash_Rate_4,Total_Output_Volume_4,Bitcoin_my_wallet_num_users_5,Volume_5,Difficulty_5,wallet_num_transaction_5,Bitcoin_Avg_Block_Size_5,Miners_Revenue_5,Hash_Rate_5,Bitcoin_Cost_Transaction_5,Bitcoin_Cost_percentage_of_Transaction_Volume_5,Estimated_Transaction_Volume_5,Total_Output_Volume_5,num_transaction_per_Block_5,num_of_unique_addresses_5,num_of_transaction_5,Total_transaction_fees_5,Total_Bitcoins_5,Median_transaction_confirmation_time_5,Class
2020-02-23,46113964.0,34324865.7888,15546745765529.0,62664.0,0.909322887324,17684305.8236,109742275.18922,61.9243915821,2.39855574209,74613.1961645,668882.618561738,2011.11971831,465169.0,285579.0,16.62073804,18233662.5,7.10833333333333,2126497675793296.0,1178196411419132.8,2.4170130389799388e+26,3926776896.0,0.826868113411256,312734672462612.94,1.204336696370649e+16,3834.6302728132573,5.753069647912911,5567129041.882157,447403957414.00757,4044602.521375294,216382198561.0,81555365241.0,276.248932994303,332466448163906.25,50.52840277777773,9.806123726761572e+22,4.044143369480752e+22,3.7576687228989746e+39,246067547410944.0,0.751890100323272,5.530495589472225e+21,1.3216664915358386e+24,237457.1465862631,13.799058238645207,415381291275038.3,2.992607305899657e+17,8134179883.464197,1.0065429092242181e+17,2.329049965015954e+16,4591.461149127823,6.062081008394411e+21,359.17272974536985,4.52199236515429e+30,1.3881467838809222e+30,5.84195203059904e+52,1.5419576790959395e+19,0.6837108769762897,9.780297536029779e+28,14704389.329175876,33.097810373736785,3.0992925768967746e+19,16358809555915.385,4.6821255854092035e+22,6.651277599592911e+21,76313.47298049091,1.1053393915472335e+29,2553.119487273336,1.450426878224969e+32,2.001703011097151e+23,2.085269931349998e+38,4.764795205186701e+37,9.082334299413916e+65,9.662523600286796e+23,0.621713948746904,1.7295777267295218e+36,1.5917314561200582e+40,910560362.7955397,33.097810373736785,2.3124812501117773e+24,1.338904351645578e+29,3.289952446597949e+16,2.1779796764392135e+28,1.899465205614144e+27,1268386.2433313574,2.015438541342761e+36,18148.424355367955,3
2021-03-15,69641502.0,461229239.306,21448277761060.0,91847.0,1.3563101891891882,59673362.68696073,157797551.24783528,204.19928990066327,0.8073564760784362,129272.84107778994,1304712.9631716223,1974.5337837837837,782966.0,292231.0,112.98540384,18655000.0,10.033333333333333,4849938800816004.0,2.1273241119079142e+17,4.60028618915581e+26,8435871409.0,1.8395773292984114,3560910214369557.0,2.49000671798132e+16,41697.349995935125,0.6518244794657905,16711467440.323534,1702275916268.075,3898783.663303506,613035757156.0,85398957361.0,12765.701480887887,348009025000000.0,100.66777777777777,3.3775702269690535e+23,9.811840818925994e+25,9.866821596538201e+39,774809481302423.0,2.49503747552887,2.1249148671777765e+23,3.929169626881115e+24,8514569.259909377,0.5262547147631615,2160338874589605.2,2.2209814548498084e+18,7698280058.857074,4.799861546374047e+17,2.495622270856239e+16,1442337.9371190039,6.492108361375e+21,1010.0333703703703,2.352190637166058e+31,4.525507877104795e+34,2.1162633022137683e+53,7.116392642918365e+19,3.3840447504686764,1.2680081554801442e+31,1738668996.6835108,0.42487515203084875,2.792731440089936e+20,15200514053242.307,3.758128395518302e+23,7.292981918345896e+21,162963134.2991432,1.2111028148145062e+29,10134.001482716048,6.2001334555921056e+32,2.897743295106314e+24,1.638100889625813e+39,2.0872965556303558e+43,4.539020312141896e+66,6.53619315074123e+24,4.58981437573285,7.566631055199074e+38,9.783658767022134e+40,355034974495.07153,0.42487515203084875,3.6102432762769378e+25,3.78072324106886e+30,3.001392852900711e+16,2.9424867573253828e+29,2.1312353989801396e+27,18412455539.82085,2.2593123010364615e+36,101677.81487658435,3
2012-06-05,8497.0,152083.653544,1591074.96185,522.0,0.0461344408566,46292.61,13.3666773449,2.53311135431,2.98290461420045,264226.02321203,2751676.41249,229.0,20500.0,18275.0,13.28754541,9165850.0,16.35,72199009.0,23129437675.291424,2531519534225.979,272484.0,0.002128386633151123,2143005740.6121001,178.6680632426629,6.416653133334242,8.897719937418335,69815391342.44421,7571723079053.837,52441.0,420250000.0,333975625.0,176.55886302281206,84012806222500.0,267.32250000000005,613474979473.0,3517609386076561.5,4.0278373463411297e+18,142236648.0,9.819192724708849e-05,99205328977917.11,2388.1983532028626,16.254096908717806,26.541049857188494,1.8447043213405624e+16,2.08349317985386e+19,12008989.0,8615125000000.0,6103404546875.0,2346.033909953585,7.700487799145017e+20,4370.722875000001,5212696900582081.0,5.3497088717519035e+20,6.408591152167719e+24,74247530256.0,4.530029660176374e-06,4.592473604296415e+18,41.17343743352814,79.16942008473175,4.874188868298635e+21,2750058481.0,1.766100625e+17,1.1153971809414062e+17,31173.032111908113,7.058151609379335e+27,71461.31900625002,31922.27682288419,5.733099038587651e+25,4.429228556424594e+19,8.136032706127797e+25,1.0196548922947502e+31,38757210793632.0,2.089903854360507e-07,2.125975894989883e+23,426694.7744060724,104.29690185884252,79.16942008473175,1.2878875410548935e+27,1.5775633394950737e+32,629763392149.0,3.62050628125e+21,2.0383883481704198e+21,414213.07975436724,6.469395892882957e+34,1168392.565752188,2
2017-05-03,13459052.0,12982815.391,521974519553.0,56755.0,0.995290871212,2760373.22543,3425069.22209443,9.69134714199,0.59760329173,317492.173042,2625551.83579827,2235.97727273,547221.0,295149.0,247.34367708,16308862.5,18.575,181146080738704.0,168553495476786.5,2.7245739906258517e+23,3221130025.0,0.9906039183179419,7619660343670.822,11731099176138.545,93.92220942655776,0.3571296942865315,100801279942.93126,6893522442463.666,4999594.364165089,299450822841.0,87112932201.0,61178.89459145531,265978996043906.25,345.030625,2.4380545202584153e+21,2.1882989152828727e+21,1.422158199743529e+35,182815234568875.0,0.9859390368886853,2.103310639953969e+19,4.017982672952946e+19,910.2327358954568,0.21342188088015981,3.2003617414496212e+16,1.8099300503927052e+19,11178979371.142136,1.6386577872587485e+17,2.5711294826192948e+16,15132212.747940281,4.337814874368111e+21,6408.943859374999,3.2813902566993067e+28,2.841028083744309e+28,7.423303430394879e+46,1.0375678637956502e+19,0.9812961229868599,5.805922375290975e+25,8821.381423566174,0.12754161854119148,1.0160898038133196e+22,24995943806191.324,8.967079530015196e+22,7.588662956656022e+21,3742857143.4324,7.07448263365243e+28,119046.1321878906,1.3761868788039844e+26,4.752065166475023e+25,4.416440209720932e+35,3.688454313189885e+35,3.8747752415765036e+58,5.888716410972212e+23,0.9766750731645496,1.6026512673678157e+32,4.7135353224417246e+32,85491.06964768172,0.12754161854119148,3.226005598185103e+27,1.2476793421671508e+32,5.589036226108002e+16,4.906974227494446e+28,2.2397862829940685e+27,925772048641.7148,1.1537676453087536e+36,2211281.905390068,2
2017-03-31,12888060.0,8954743.434,499635929816.0,63732.0,0.96052782963,1987418.5,3352999.96635355,7.93770289662,0.449457358933,423794.82037,3573848.96368429,1921.5037037,489451.0,259403.0,217.27700693,16247887.5,20.475,166102090563600.0,80187429968766.12,2.4963606236309888e+23,4061767824.0,0.9226137114937184,3949832294142.25,11242608774366.908,63.007127275009545,0.20201191749902758,179602049772.44055,12772396415227.275,3692176.4833328174,239562281401.0,67289916409.0,47209.29774045927,263993848212656.25,419.22562500000004,2.1407337093091106e+21,7.180578620021433e+20,1.2472714613439188e+35,258864586959168.0,0.8861961458879404,7.849969773275749e+18,3.769646684217837e+19,500.1318566785483,0.09079574291210402,7.611441842139523e+16,4.564661569232494e+19,7094530787.43805,1.1725399819400085e+17,1.7455206186243828e+16,10257494.9123142,4.289342346451315e+21,8583.644671875001,2.7589904489598375e+28,6.430023924995771e+27,6.231816363215299e+46,1.6497957856081695e+19,0.8512160606362142,1.560117515184903e+25,3969.8980874492513,0.040808814811633926,3.225689628246221e+22,13632167184075.889,5.7390086670051915e+22,4.527932850330207e+21,2228717793.1473327,6.969275189412699e+28,175750.12465664066,1.2639625205347178e+26,1.6313411018771054e+26,3.5558034445621325e+35,5.757921452281879e+34,3.1136393630776394e+58,1.0514478500837986e+24,0.8176167152691014,3.100606411852507e+31,4.238066288825057e+32,31511.871548032123,0.040808814811633926,1.3670305565719793e+28,5.8301667063590816e+32,2.619425973365942e+16,2.8089635310743577e+28,1.1745593651742068e+27,484249131386.68726,1.1323599923411872e+36,3598483.802344718,1
2018-08-02,27040929.0,561036987.738,5949437371609.0,58758.0,0.80693845098,14541709.8,45249464.7907536,65.4160878861,1.42131505291,136332.126632,920947.221494545,1469.75816993,470016.0,224873.0,25.20903778,17186437.5,12.95,731211841183041.0,3.1476250161012883e+17,3.5395805038697806e+25,3452502564.0,0.6511496636700019,211461323907416.06,2047514063849650.0,4279.26455432196,2.0201364796285564,18586448752.003685,848143784778.5225,2160189.0780759826,220915040256.0,50567866129.0,635.4955857934673,295373633941406.25,167.7025,1.9772647481389886e+22,1.7659340575622407e+26,2.1058512529541486e+38,202862145655512.0,0.5254377009580193,3.075009206185447e+21,9.264891554073756e+22,279932.74617339787,2.8712503874286828,2533930084897344.5,7.810956620196476e+17,3174955546.09573,1.038336035609641e+17,1.1371347760026616e+16,16020.232231290747,5.076420498881857e+21,2171.747375,5.346707566862928e+29,9.907543241986634e+34,1.252863014337505e+51,1.1919773954426575e+19,0.42399588449755665,4.471589150867713e+28,18312105.12587632,4.080951396326056,3.454560772108593e+20,4666416853038.763,4.88034550113101e+22,2.5571090848404655e+21,403854.63956298213,8.724558362775186e+28,28124.128506249996,4.1923138416621084e+30,7.193478796584368e+23,1.4457993969930319e+37,5.55849821636816e+43,7.453830039006254e+63,7.003820780141966e+23,0.34213858225835336,6.5024551776746704e+35,1.8969995757007855e+38,1197906278.2938275,4.080951396326056,4.709676166410484e+25,6.624814310594296e+29,6858504294052762.0,2.293840471059593e+28,5.7502479123533e+26,10180786.8663715,1.4994407701693807e+36,364207.4641559374,3
2019-09-26,42232966.0,269030045.1831,12017674556107.8,76182.0,0.970737502924,18142040.4351,102155715.0684,50.3094499446,1.38142412225,159500.35796,1130065.40346932,2080.55555556,554702.0,355775.0,32.64172934,17957787.5,6.26666666666667,1783623417157156.0,7.237716521122082e+16,1.4442450173652083e+26,5803697124.0,0.9423312995831228,329133631148803.44,1.0435790121136126e+16,2531.0407537282126,1.9083326055341832,25440364189.368134,1277047816118.2769,4328711.41977158,307694308804.0,126575850625.0,1065.4824943058168,322482131895156.25,39.27111111111115,7.532770713360198e+22,1.947163202699943e+25,1.7356466597975333e+39,442137254300568.0,0.9147563326844483,5.971155644852881e+21,1.0660756021284055e+24,127335.26810743216,2.6362166945611145,4057747194836982.5,1.4431475555713144e+18,9006124592.821775,1.706786484821964e+17,4.503252325610938e+16,34779.19119563856,5.791065597120188e+21,246.09896296296336,3.18131249423137e+30,5.238454044012354e+33,2.0858436701842308e+52,3.368290030712587e+19,0.8879882781740172,1.0832894715319658e+29,6406167.297033079,3.6417333333448845,6.472121300876845e+20,18737742555660.887,9.467578767037132e+22,1.6021445961442312e+22,1135252.9456721446,1.0399472539164495e+29,1542.220167901238,1.0890571545240236e+32,1.6308511246524603e+24,1.3435626240424865e+38,1.4093015281502363e+42,2.506699040319154e+65,2.5660307111974634e+24,0.8620035237804277,1.9653081395451035e+36,1.1125341237075862e+40,322290752.96681917,3.6417333333448845,1.0323056642503977e+26,1.8429684341787765e+30,3.898491437283329e+16,5.251684877233031e+28,5.700029936932139e+27,37056619.385067865,1.8675151797040142e+36,9664.579718847763,3
2019-07-13,40437295.0,223317773.9139,9064159826491.0,60531.0,1.04858258865,20609810.0302,63532037.8806704,67.6741040903,2.92998587271,61473.3540997,1572856.63308995,2159.89361702,472491.0,304545.0,44.38220922,17815750.0,8.0,1635174826917025.0,4.987082814585975e+16,8.215899336017336e+25,3664001961.0,1.099525445219935,424764269480932.56,4036319837270938.5,4579.78436442476,8.58481721428018,3778973264.267103,2473877988255.0537,4665140.436843738,223247745081.0,92747657025.0,1969.780495247853,317400948062500.0,64.0,6.612204685261768e+22,1.1137042324776068e+25,7.447022470002241e+38,221785702701291.0,1.1529432376352633,8.7543109016187e+21,2.5643562479999865e+23,309932.80378920963,25.153393157638547,232306161607590.8,3.8910554032821827e+18,10076207052.040684,1.0548255032106677e+17,2.8245835208678624e+16,87423.21005756543,5.654735940444485e+21,512.0,2.6737967145831225e+30,2.487099499953877e+33,6.750100189957009e+51,1.3424910370211846e+19,1.2089562046860964,1.804246846276703e+29,20974424.8246295,73.69908660260133,1.4280638932045564e+19,21763535295474.586,4.983955568375116e+22,8.602127883627032e+21,3880035.199458877,1.0074336183097383e+29,4096.0,1.6291877828746894e+31,6.120072300772873e+24,1.0812110651762854e+38,5.554135238320736e+41,6.11839869665976e+64,8.126232496192933e+23,1.2676904266742262,3.718518474935031e+36,1.035056199363202e+39,1419425408.8161495,73.69908660260133,8.778787738395986e+23,9.625996313260684e+30,4.700692096848503e+16,2.354874150457127e+28,2.6197350363191944e+27,172204534.00334832,1.7948185485401718e+36,32768.0,3
2012-07-06,11698.0,198336.565287,1751454.53534,2008.0,0.0681595677419355,59266.0586011312,14.8010971233,2.33376879705183,5.30086802066,161200.0,4379832.14432,154.296774193548,23077.0,23916.0,16.38467211,9399750.0,11.65,136843204.0,39337393129.84441,3067592989363.055,4032064.0,0.004645726674767495,3512465702.112717,219.07247605335954,5.446476798092745,28.09920177245587,25985440000.0,19182929612418.73,23807.49452653474,532547929.0,571975056.0,268.4574801522119,88355300062500.0,135.7225,1600791800392.0,7802043440717772.0,5.372749653797111e+18,8096384512.0,0.0003166507219993318,208169998135875.72,3242.512995107588,12.710817605255608,148.95016008168412,4188852928000000.0,8.401801173869955e+19,3673419.607074861,12289608557533.0,13679355439296.0,4398.587787770824,8.305177317624844e+20,1581.167125,1.8726062480985616e+16,1.5474304982519306e+21,9.410126748389364e+24,16257540100096.0,2.1582776336646245e-05,1.2337415308518183e+19,29.664109512162604,789.565140249187,6.752430919936e+20,566796795.6309817,2.8360729668218906e+17,3.2715546468620314e+17,72069.41864967522,7.806659049134412e+27,18420.597006250002,47992.74976414978,3.6798478851501135e+26,2.1905747890256973e+20,3.06912050043639e+26,1.64814091715908e+31,3.264514052099277e+16,1.4710727057766824e-06,7.311899786611317e+23,710345.3504734142,69.22917317181347,789.565140249187,1.0884918642936831e+26,1.6117116053588438e+33,87454917189.10016,6.544805585534876e+21,7.824250093435235e+21,1180833.7937332476,7.338064339710119e+34,214599.95512281253,3
2013-05-07,260728.0,9983220.03191,10076292.8834,9178.0,0.146846139358,469929.84124,81.6459234846,9.92271461053,0.97001038483363,442980.96673336,806731.721056,345.0,95352.0,47359.0,49.35342081,11129525.0,6.7,67979089984.0,99664682205529.11,101531678272057.5,84235684.0,0.021563788644349158,220834055687.8516,6666.056821653158,98.46026524202554,0.9409201466850869,196232136888.02222,650816069757.9757,119025.0,9092003904.0,2242874881.0,2435.7601456489415,123866326725625.0,44.89,1.7724052173348352e+16,9.949744518681824e+20,1.0230629272123914e+21,773115107752.0,0.0031665591123545543,1.037765127297774e+17,544256.3652046897,976.9931124737061,0.9127023135837168,8.692710170280912e+16,5.250339680467535e+17,41063625.0,866940756254208.0,106220311489279.0,120213.0954604391,1.3785733799510116e+21,300.76300000000003,4.6211566750527694e+21,9.93304887912911e+27,1.0308681692740592e+28,7095650458947856.0,0.0004649969806981617,4.876768015154514e+22,9694.423831530024,0.8853307224378856,3.850705154763949e+22,14166950625.0,8.266453499035124e+19,5.030487731820764e+18,5932927.487131752,1.5342866896499283e+28,2015.1121000000003,44436313.54950861,4.235615566552184e+23,1.2048649375731584e+27,9.916381254806292e+34,1.038732959777979e+35,6.5123879912223425e+19,6.828301142865149e-05,2.29173881912587e+28,3628043856.0008745,96195.0009937932,0.8853307224378856,1.705789092062467e+28,3.417005435736228e+29,4887597965625.0,7.882228740399972e+24,2.382388684912996e+23,292810266.90762925,1.7075882069626117e+35,13501.251070000002,3
